North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Anderson, Jed",16,8,12,28,1,,,12.0,1.0,1.0,7.0,3.0,2.0,1.0,,12.0,16.0,2.0,2.0,1.0,,1.0,77.0
4,"Corr, Aidan",10,9,8,18,,,,2.0,3.0,,,2.0,1.0,2.0,,4.0,13.0,,,5.0,,,88.0
25,"Curtis, Paul",7,4,3,10,1,,,1.0,,3.0,,3.0,1.0,1.0,,4.0,7.0,1.0,1.0,,,,81.0
9,"Davies-Uniacke, Luke",9,6,8,17,,,,4.0,2.0,4.0,5.0,1.0,,1.0,,9.0,10.0,,,1.0,1.0,,85.0
22,"Goldstein, Todd",8,6,8,16,2,,30.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,,12.0,5.0,3.0,2.0,7.0,,,91.0
18,"Greenwood, Hugh",2,,5,7,,,,5.0,1.0,1.0,2.0,1.0,1.0,1.0,,4.0,3.0,,,1.0,,,63.0
37,"Hayden, Kyron",8,6,5,13,,,,1.0,3.0,,1.0,3.0,,1.0,,3.0,12.0,,,3.0,,,85.0
6,"Horne-Francis, Jason",7,4,8,15,,1.0,,5.0,1.0,2.0,4.0,3.0,2.0,2.0,,7.0,8.0,,,1.0,,,77.0
20,"Larkey, Nick",2,2,,2,,1.0,,1.0,,,,2.0,,,,1.0,1.0,1.0,1.0,,,,96.0
1,"Mahony, Jack",,,,,,,,,,,,,,,,,,,,,,,
11,"McDonald, Luke",17,8,9,26,,,,2.0,4.0,,1.0,,1.0,,,5.0,16.0,,,2.0,,,90.0
39,"Perez, Flynn",5,6,4,9,,,,4.0,,,2.0,1.0,,1.0,,2.0,7.0,,,2.0,,,85.0
24,"Powell, Tom",6,1,10,16,,,,1.0,3.0,1.0,3.0,1.0,1.0,,,7.0,9.0,,,,,,69.0
8,"Scott, Bailey",17,8,1,18,,,,1.0,4.0,1.0,,2.0,,1.0,,1.0,18.0,,,,,1.0,85.0
12,"Simpkin, Jy",20,3,9,29,1,,,3.0,3.0,9.0,10.0,13.0,,2.0,,14.0,15.0,,1.0,,1.0,1.0,89.0
5,"Taylor, Curtis",11,3,5,16,,,,1.0,2.0,2.0,1.0,4.0,,1.0,,6.0,11.0,,,,,,87.0
26,"Thomas, Tarryn",8,1,4,12,,,,3.0,1.0,3.0,2.0,4.0,,1.0,,3.0,10.0,,,2.0,,,67.0
28,"Turner, Kayne",9,2,4,13,,,,1.0,2.0,,,3.0,2.0,,,4.0,9.0,,,3.0,1.0,,84.0
19,"Walker, Josh",8,7,5,13,,,,1.0,5.0,,,1.0,,,,3.0,8.0,,,7.0,,,87.0
38,"Xerri, Tristan",2,2,,2,,,17.0,4.0,,,,2.0,,2.0,,,2.0,,,1.0,,,58.0
17,"Young, Lachie",7,6,1,8,,,,2.0,2.0,1.0,,2.0,,1.0,,2.0,9.0,,,5.0,1.0,,82.0
7,"Ziebell, Jack",8,2,2,10,1,1.0,,10.0,,1.0,,2.0,2.0,,,7.0,3.0,1.0,2.0,,,1.0,84.0
44,"Zurhaar, Cameron",7,3,4,11,1,3.0,,2.0,,2.0,1.0,4.0,2.0,2.0,,7.0,5.0,2.0,1.0,,,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,97,115,309,7,8.0,47.0,68.0,38.0,34.0,44.0,62.0,18.0,21.0,,117.0,197.0,10.0,10.0,41.0,4.0,4.0,
Opposition,Opposition,241,122,143,384,16,7.0,48.0,67.0,26.0,58.0,32.0,71.0,21.0,18.0,6.0,138.0,255.0,11.0,11.0,39.0,16.0,9.0,
