Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Ball, Jason",11,5,7,18,1,,8.0,2.0,1.0,3.0,8.0,,2.0,,,15.0,3.0,2.0,1.0,4.0,,,
42,"Bennett, Gerrard",3,1,1,4,1,,,,,1.0,,,,1.0,,3.0,2.0,,,,,,
24,"Bolton, Jude",9,4,3,12,,,,3.0,1.0,7.0,3.0,1.0,,1.0,,3.0,9.0,,,2.0,,,
8,"Cresswell, Daryn",15,5,6,21,2,3.0,,2.0,1.0,6.0,1.0,2.0,,,,8.0,12.0,,2.0,1.0,1.0,,
28,"Crouch, Jared",8,,5,13,1,,,2.0,3.0,2.0,1.0,3.0,1.0,,,5.0,5.0,,,4.0,,,
6,"Dunkley, Andrew",4,4,7,11,,,,3.0,3.0,,,,1.0,,,4.0,9.0,,,4.0,,,
26,"Feast, Simon",2,1,1,3,,,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,,,,
40,"Fixter, Ben",5,3,3,8,,1.0,,1.0,,2.0,2.0,,1.0,,,4.0,5.0,,,2.0,,,
37,"Goodes, Adam",20,9,1,21,,1.0,1.0,1.0,3.0,8.0,,2.0,1.0,1.0,,4.0,15.0,,1.0,1.0,,,
14,"Kelly, Paul",19,11,3,22,3,1.0,,3.0,1.0,1.0,1.0,2.0,,2.0,,9.0,16.0,1.0,4.0,,,,
31,"Kirk, Brett",6,2,3,9,2,,,1.0,,1.0,,3.0,1.0,,,5.0,4.0,,2.0,1.0,,,
4,"Mathews, Ben",24,14,6,30,,,,,9.0,2.0,3.0,,,1.0,1.0,7.0,23.0,1.0,,,,,
11,"Maxfield, Stuart",5,,2,7,,,,4.0,,2.0,1.0,1.0,,,,3.0,4.0,,,,,,
13,"McPherson, Daniel",12,6,7,19,1,1.0,,,3.0,7.0,6.0,,,,2.0,8.0,11.0,1.0,2.0,2.0,,,
23,"Nicks, Matthew",15,10,5,20,2,1.0,,3.0,2.0,5.0,2.0,,2.0,,,7.0,14.0,2.0,3.0,2.0,,,
5,"OKeefe, Ryan",9,1,1,10,1,1.0,,3.0,1.0,4.0,1.0,1.0,1.0,2.0,,3.0,4.0,,,2.0,1.0,,
19,"OLoughlin, Michael",14,7,10,24,1,,,,1.0,4.0,3.0,2.0,,1.0,3.0,13.0,10.0,1.0,1.0,,,,
22,"Saddington, Jason",11,7,3,14,,,,2.0,4.0,3.0,,1.0,2.0,,,3.0,9.0,2.0,,2.0,2.0,,
2,"Schwass, Wayne",11,4,6,17,2,,,3.0,3.0,1.0,5.0,1.0,2.0,2.0,,6.0,7.0,,2.0,4.0,4.0,,
7,"Seymour, Brad",6,4,8,14,,,,1.0,5.0,,1.0,1.0,1.0,1.0,,7.0,8.0,,,1.0,1.0,,
1,"Stafford, Greg",8,4,3,11,3,,6.0,3.0,,2.0,1.0,1.0,,4.0,,7.0,3.0,1.0,1.0,,,,
10,"Williams, Paul",17,7,2,19,2,1.0,,5.0,1.0,1.0,,,1.0,,,3.0,14.0,1.0,2.0,1.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,234,109,93,327,22,11.0,15.0,42.0,43.0,63.0,39.0,22.0,17.0,16.0,6.0,129.0,188.0,12.0,21.0,33.0,9.0,,
Opposition,Opposition,157,49,112,269,3,18.0,32.0,33.0,40.0,48.0,33.0,27.0,16.0,17.0,,117.0,149.0,11.0,6.0,26.0,21.0,,
