Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Adams, Taylor",4,1,9,13,1,1.0,,1.0,,1.0,6.0,2.0,1.0,1.0,,8.0,6.0,,1.0,4.0,,,73.0
36,"Amartey, Joel",8,5,2,10,2,2.0,1.0,2.0,,2.0,1.0,,2.0,,,5.0,5.0,2.0,2.0,,,,74.0
22,"Blakey, Nick",12,7,5,17,,1.0,,2.0,4.0,2.0,1.0,3.0,,,,2.0,14.0,,,5.0,4.0,,90.0
16,"Campbell, Braeden",9,4,4,13,,,,3.0,1.0,3.0,1.0,3.0,,1.0,,3.0,9.0,,,,,,77.0
13,"Florent, Oliver",8,5,11,19,,,,3.0,1.0,,,2.0,,,,7.0,13.0,,,3.0,,,89.0
42,"Fox, Robbie",9,5,9,18,,,,,2.0,2.0,1.0,1.0,1.0,,,3.0,13.0,,,1.0,,2.0,85.0
4,"Grundy, Brodie",8,4,12,20,1,,35.0,6.0,,2.0,3.0,8.0,,5.0,,12.0,10.0,,1.0,5.0,,1.0,81.0
21,"Gulden, Errol",30,8,11,41,,2.0,,3.0,2.0,15.0,5.0,6.0,4.0,1.0,3.0,13.0,27.0,,,1.0,,3.0,87.0
9,"Hayward, Will",4,3,4,8,,,,3.0,1.0,4.0,,2.0,1.0,1.0,,3.0,7.0,,,2.0,,,86.0
17,"Jordon, James",7,5,11,18,1,,,2.0,,2.0,,1.0,,,,4.0,14.0,,1.0,,,1.0,85.0
44,"Lloyd, Jake",9,6,15,24,,,,3.0,5.0,,4.0,2.0,,,,8.0,16.0,,,1.0,,,83.0
30,"McCartin, Tom",8,5,5,13,,,,,3.0,,,1.0,2.0,,,5.0,7.0,1.0,,10.0,,,96.0
6,"McDonald, Logan",12,7,4,16,4,2.0,1.0,1.0,,4.0,,2.0,,,,1.0,14.0,1.0,4.0,1.0,,,84.0
27 ↓,"McInerney, Justin",8,4,5,13,,,,2.0,,3.0,1.0,3.0,,1.0,,3.0,10.0,,1.0,1.0,,2.0,46.0
2,"McLean, Hayden",11,8,5,16,2,3.0,8.0,1.0,,2.0,,1.0,1.0,,,6.0,9.0,2.0,4.0,1.0,,2.0,74.0
43,"Melican, Lewis",3,3,2,5,,,,3.0,,,,,,,,1.0,4.0,,,7.0,,,80.0
14,"Mills, Callum",8,1,4,12,1,,,1.0,2.0,1.0,,2.0,2.0,1.0,,4.0,8.0,,,2.0,,,62.0
11,"Papley, Tom",15,5,4,19,4,2.0,,2.0,,5.0,3.0,,1.0,,1.0,7.0,11.0,,2.0,2.0,1.0,1.0,81.0
26 ↑,"Parker, Luke",7,3,6,13,2,,,6.0,1.0,1.0,4.0,3.0,,2.0,,6.0,7.0,,1.0,2.0,,,38.0
24,"Rampe, Dane",5,3,3,8,,,,3.0,2.0,2.0,,1.0,,,,3.0,7.0,,,6.0,,,84.0
34,"Roberts, Matt",14,9,8,22,,,,1.0,2.0,1.0,,1.0,,,,5.0,14.0,,,2.0,,,86.0
8,"Rowbottom, James",13,2,9,22,,,,1.0,1.0,6.0,5.0,3.0,1.0,1.0,,8.0,13.0,,,,,3.0,78.0
1,"Warner, Chad",19,6,12,31,2,3.0,,2.0,2.0,6.0,3.0,6.0,,2.0,2.0,9.0,24.0,,1.0,,2.0,1.0,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,231,109,160,391,20,18.0,45.0,51.0,29.0,64.0,38.0,53.0,16.0,16.0,6.0,126.0,262.0,6.0,18.0,56.0,7.0,16.0,
Opposition,Opposition,192,82,147,339,9,5.0,26.0,45.0,42.0,39.0,34.0,59.0,16.0,16.0,,129.0,201.0,9.0,10.0,21.0,8.0,9.0,
