West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Banfield, Drew",8,1,5,13,,,,2.0,,,,,1.0,1.0,,,,,,,,,
20,"Bond, Shane",9,3,5,14,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
14,"Brennan, Michael",4,,6,10,,,,1.0,,,,,1.0,2.0,,,,,,,,,
33,"Godden, Tony",1,,,1,,1.0,,,,,,,,,,,,,,,,,
36,"Hart, David",15,1,7,22,2,,,1.0,,,,,2.0,2.0,,,,,,,,,
1,"Heady, Brett",11,5,6,17,1,2.0,,,,,,,1.0,1.0,,,,,,,,,
22,"Hynes, David",6,2,3,9,1,1.0,1.0,,,,,,,,,,,,,,,,
27,"Jakovich, Glen",10,2,3,13,,,,,,,,,,1.0,,,,,,,,,
2,"Kemp, Dean",12,5,15,27,,,,1.0,,,,,,,,,,,,,,,
5,"Lamb, Dwayne",5,5,18,23,,,,2.0,,,,,,,,,,,,,,,
28,"Lewis, Chris",13,5,3,16,2,1.0,,1.0,,,,,1.0,,,,,,,,,,
3,"Mainwaring, Chris",17,3,8,25,1,,,2.0,,,,,3.0,3.0,1.0,,,,,,,,
11,"McIntosh, Ashley",9,7,5,14,3,2.0,,2.0,,,,,,1.0,3.0,,,,,,,,
17,"McKenna, Guy",12,7,9,21,1,,,,,,,,,,,,,,,,,,
10,"Pyke, Don",17,,6,23,2,2.0,,2.0,,,,,,,,,,,,,,,
29,"Spinks, Brett",11,5,,11,3,,2.0,,,,,,2.0,,,,,,,,,,
4,"Sumich, Peter",5,3,,5,2,2.0,,,,,,,1.0,,,,,,,,,,
50,"Turnbull, Ryan",6,2,1,7,,,6.0,,,,,,,1.0,,,,,,,,,
39,"Waterman, Chris",12,2,11,23,,,,3.0,,,,,2.0,,,,,,,,,,
9,"Wilson, Peter",4,1,7,11,,,,1.0,,,,,,,,,,,,,,,
24,"Worsfold, John",5,2,5,10,,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,61,123,315,18,15.0,9.0,20.0,,,,,15.0,14.0,4.0,,,,,,,,
Opposition,Opposition,167,45,97,264,13,8.0,24.0,20.0,,,,,14.0,15.0,2.0,,,,,,,,
