North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
13,"Adams, Leigh",22y 355d,24 (11-1-12 47.92%),19 (0.79),←,
4,"Anthony, Liam",23y 199d,18 (6-1-11 36.11%),7 (0.39),←,
18,"Atley, Shaun",18y 195d,1 (0-0-1 0.00%),,←,
10,"Cunnington, Ben",19y 270d,19 (10-0-9 52.63%),1 (0.05),←,
27,"Edwards, Aaron",27y 25d,55 (30-1-24 55.45%),74 (1.35),51 (26-1-24 51.96%),72 (1.41)
11,"Firrito, Michael",27y 120d,150 (73-2-75 49.33%),25 (0.17),←,
32,"Garlett, Cruize",22y 21d,17 (9-0-8 52.94%),3 (0.18),←,
6,"Hansen, Lachlan",22y 222d,51 (23-1-27 46.08%),37 (0.73),←,
29,"Harvey, Brent",32y 317d,302 (163-3-136 54.47%),345 (1.14),←,
26,"McKinley, Ben",24y 23d,47 (13-0-34 27.66%),89 (1.89),1 (0-0-1 0.00%),
42,"McMahon, Scott",24y 298d,69 (34-1-34 50.00%),25 (0.36),←,
39,"Pedersen, Cameron",24y 10d,1 (0-0-1 0.00%),,←,
3,"Rawlings, Brady",29y 290d,224 (111-2-111 50.00%),60 (0.27),←,
21,"Richardson, Cameron",23y 115d,1 (0-0-1 0.00%),,←,
9,"Swallow, Andrew",23y 298d,85 (37-1-47 44.12%),45 (0.53),←,
25,"Tarrant, Robbie",21y 336d,3 (1-0-2 33.33%),,←,
12,"Thomas, Lindsay",23y 27d,73 (32-2-39 45.21%),96 (1.32),←,
16,"Thompson, Scott",24y 322d,51 (18-2-31 37.25%),1 (0.02),←,
5,"Warren, Ben",22y 44d,26 (11-0-15 42.31%),32 (1.23),←,
8,"Wells, Daniel",26y 52d,150 (76-2-72 51.33%),86 (0.57),←,
19,"Wright, Sam",20y 255d,25 (11-0-14 44.00%),25 (1.00),←,
7,"Ziebell, Jack",20y 27d,25 (11-0-14 44.00%),4 (0.16),←,
Totals,Totals,23y 323d,1417 (680-19-718 47.99%),974 (0.69),,
C,"Scott, Brad",34y 328d,23 (11-0-12 47.83%),,←,
