West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
26,"Butler, Sam",29y 144d,129 (69-0-60 53.49%),16 (0.12),←,
15,"Cripps, Jamie",23y 45d,60 (30-0-30 50.00%),73 (1.22),44 (22-0-22 50.00%),57 (1.30)
14,"Duggan, Liam",18y 178d,9 (7-0-2 77.78%),1 (0.11),←,
3,"Gaff, Andrew",22y 356d,95 (55-0-40 57.89%),35 (0.37),←,
33,"Hill, Josh",26y 139d,125 (74-1-50 59.60%),166 (1.33),59 (35-0-24 59.32%),91 (1.54)
25,"Hurn, Shannon",27y 276d,162 (87-0-75 53.70%),45 (0.28),←,
17,"Kennedy, Josh",27y 286d,150 (62-1-87 41.67%),328 (2.19),128 (59-0-69 46.09%),317 (2.48)
2,"LeCras, Mark",28y 281d,140 (71-0-69 50.71%),311 (2.22),←,
7,"Masten, Chris",26y 36d,128 (61-0-67 47.66%),51 (0.40),←,
20,"McGovern, Jeremy",23y 53d,22 (13-0-9 59.09%),13 (0.59),←,
36,"McInnes, Fraser",21y 323d,7 (6-0-1 85.71%),6 (0.86),←,
9,"Naitanui, Nic",25y 34d,118 (63-0-55 53.39%),79 (0.67),←,
30,"Nelson, Jackson",19y 84d,9 (6-0-3 66.67%),1 (0.11),←,
11,"Priddis, Matt",30y 78d,183 (89-0-94 48.63%),60 (0.33),←,
31,"Schofield, Will",26y 134d,120 (62-0-58 51.67%),19 (0.16),←,
10,"Selwood, Scott",25y 72d,126 (60-0-66 47.62%),35 (0.28),←,
4,"Sheed, Dom",20y 58d,18 (10-0-8 55.56%),3 (0.17),←,
5,"Sheppard, Brad",24y 15d,69 (32-0-37 46.38%),14 (0.20),←,
13,"Shuey, Luke",25y 5d,96 (57-0-39 59.38%),87 (0.91),←,
22,"Sinclair, Callum",25y 257d,15 (11-0-4 73.33%),9 (0.60),←,
12,"Wellingham, Sharrod",26y 335d,125 (84-2-39 68.00%),70 (0.56),33 (17-0-16 51.52%),15 (0.45)
6,"Yeo, Elliot",21y 249d,49 (23-0-26 46.94%),12 (0.24),22 (12-0-10 54.55%),11 (0.50)
Totals,Totals,24y 289d,1955 (1032-4-919 52.79%),1434 (0.73),,
C,"Simpson, Adam",39y 111d,32 (18-0-14 56.25%),,←,
