North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30 ↓,"Comben, Charlie",1,2.0,5,6,,,,,,1.0,,,,,,,6,,,5.0,,,52.0
25,"Curtis, Paul",6,2.0,2,8,3.0,,,3.0,,1.0,1.0,3.0,1.0,2.0,,3.0,4,,1.0,1.0,,,82.0
5,"Daniel, Caleb",22,4.0,7,29,,,,1.0,9.0,4.0,1.0,1.0,1.0,,,8.0,13,,,1.0,2.0,,84.0
28,"Darling, Jack",4,4.0,6,10,,,,3.0,,,1.0,4.0,1.0,3.0,,9.0,1,3.0,,1.0,,,84.0
9,"Davies-Uniacke, Luke",5,1.0,13,18,,,,6.0,1.0,1.0,4.0,2.0,,1.0,,10.0,9,,,,,,84.0
16,"Fisher, Zac",5,,9,14,,3.0,,2.0,,1.0,1.0,3.0,2.0,1.0,,7.0,8,,,2.0,,,72.0
46 ↑,"Hansen, Robert",3,,1,4,,,,,,2.0,,,,,,1.0,3,,,,,,35.0
17,"Hardeman, Riley",6,1.0,4,10,,,,1.0,2.0,1.0,,5.0,,,,3.0,6,,,1.0,,,74.0
41,"Konstanty, Jacob",4,,6,10,,,,4.0,1.0,1.0,1.0,7.0,,2.0,,7.0,4,,,3.0,1.0,1.0,69.0
20,"Larkey, Nick",5,6.0,6,11,,,,1.0,,1.0,1.0,4.0,2.0,3.0,,6.0,9,1.0,,1.0,,,92.0
19,"Logue, Griffin",5,5.0,4,9,,,,1.0,1.0,,,2.0,1.0,2.0,,5.0,4,2.0,,4.0,,,87.0
11,"McDonald, Luke",12,3.0,11,23,,,,3.0,7.0,1.0,1.0,3.0,2.0,1.0,,8.0,13,,,4.0,,,92.0
10,"McKercher, Colby",20,1.0,15,35,,,,1.0,8.0,4.0,5.0,2.0,,2.0,1.0,8.0,23,,,1.0,4.0,1.0,85.0
2,"OSullivan, Finn",13,5.0,4,17,1.0,,,3.0,6.0,2.0,,2.0,1.0,,,3.0,13,,,2.0,,,74.0
26,"Parker, Luke",8,6.0,14,22,1.0,,,7.0,,4.0,4.0,2.0,1.0,1.0,,12.0,10,1.0,,1.0,,1.0,85.0
32,"Pink, Toby",8,2.0,2,10,,,,,4.0,,,,1.0,,,3.0,4,1.0,,5.0,,,92.0
24,"Powell, Tom",14,7.0,16,30,,,,4.0,5.0,3.0,5.0,5.0,,3.0,,6.0,24,,,,,,71.0
3,"Sheezel, Harry",13,7.0,15,28,,1.0,,7.0,4.0,4.0,3.0,,,,,6.0,21,,1.0,,1.0,2.0,78.0
12,"Simpkin, Jy",12,4.0,11,23,2.0,2.0,,2.0,2.0,2.0,2.0,4.0,,2.0,2.0,9.0,14,,2.0,,,,89.0
15,"Stephens, Dylan",11,3.0,8,19,,1.0,,2.0,4.0,1.0,2.0,4.0,1.0,1.0,,5.0,15,,,1.0,,,87.0
6,"Wardlaw, George",6,,3,9,,,,7.0,,2.0,,3.0,1.0,1.0,,2.0,9,,,1.0,,,69.0
38,"Xerri, Tristan",8,,14,22,,,37.0,6.0,2.0,2.0,10.0,6.0,1.0,1.0,3.0,18.0,4,,,7.0,,1.0,85.0
44,"Zurhaar, Cameron",7,6.0,3,10,2.0,1.0,,2.0,,3.0,,1.0,,,,5.0,5,3.0,3.0,1.0,,,79.0
Totals,Totals,198,69.0,179,377,9.0,8.0,37.0,66.0,56.0,41.0,42.0,63.0,16.0,26.0,6.0,144.0,222,11.0,7.0,42.0,8.0,6.0,
Opposition,Opposition,181,66.0,131,312,6.0,16.0,29.0,81.0,31.0,63.0,24.0,59.0,26.0,16.0,,141.0,172,11.0,12.0,50.0,4.0,4.0,
