Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 254d,98 (62-0-36 63.27%),146 (1.49),60 (44-0-16 73.33%),91 (1.52)
26,"Bell, Peter",24y 100d,114 (78-0-36 68.42%),110 (0.96),112 (78-0-34 69.64%),108 (0.96)
12,"Blakey, John",33y 321d,313 (170-0-143 54.31%),99 (0.32),178 (118-0-60 66.29%),61 (0.34)
22,"Burton, Matthew",30y 21d,82 (29-0-53 35.37%),37 (0.45),12 (7-0-5 58.33%),5 (0.42)
17,"Calthorpe, David",26y 297d,113 (66-2-45 59.29%),70 (0.62),12 (8-0-4 66.67%),10 (0.83)
18,"Carey, Wayne",29y 13d,219 (139-0-80 63.47%),604 (2.76),←,
9,"Chandler, Brett",24y 334d,69 (28-0-41 40.58%),8 (0.12),41 (27-0-14 65.85%),6 (0.15)
23,"Clayton, Shane",21y 229d,57 (31-0-26 54.39%),18 (0.32),39 (29-0-10 74.36%),17 (0.44)
6,"Grant, Shannon",23y 51d,121 (78-1-42 64.88%),137 (1.13),63 (46-0-17 73.02%),99 (1.57)
29,"Harvey, Brent",22y 26d,78 (55-0-23 70.51%),89 (1.14),←,
34,"King, David",28y 94d,146 (99-0-47 67.81%),56 (0.38),←,
27,"Lange, Adam",21y 149d,17 (11-0-6 64.71%),15 (0.88),←,
35,"Makepeace, Troy",21y 95d,11 (8-0-3 72.73%),4 (0.36),←,
4,"Martyn, Mick",31y 283d,253 (152-1-100 60.28%),15 (0.06),←,
5,"McCartney, Jason",26y 87d,134 (77-0-57 57.46%),52 (0.39),59 (43-0-16 72.88%),4 (0.07)
31,"McKernan, Corey",26y 173d,151 (105-0-46 69.54%),179 (1.19),←,
44,"Motlop, Shannon",21y 296d,19 (14-0-5 73.68%),17 (0.89),←,
28,"Pickett, Byron",22y 303d,65 (47-0-18 72.31%),2 (0.03),←,
13,"Pike, Martin",27y 208d,134 (66-0-68 49.25%),59 (0.44),74 (54-0-20 72.97%),19 (0.26)
24,"Sholl, Craig",32y 162d,229 (139-0-90 60.70%),155 (0.68),←,
7,"Simpson, Adam",24y 114d,104 (76-0-28 73.08%),37 (0.36),←,
25,"Spaull, John",22y 294d,2 (1-0-1 50.00%),1 (0.50),←,
Totals,Totals,25y 310d,2529 (1531-4-994 60.54%),1910 (0.76),,
C,"Pagan, Denis",52y 259d,184 (123-0-61 66.85%),,←,
