Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Akermanis, Jason",20,9,6,26,1,5.0,,3.0,3.0,7.0,3.0,3.0,,,2.0,6.0,19.0,,5.0,1.0,,,95.0
10,"Ashcroft, Marcus",13,3,6,19,,,,2.0,2.0,3.0,2.0,3.0,,,,3.0,16.0,,,1.0,,,100.0
20,"Black, Simon",13,3,20,33,1,,,,3.0,5.0,7.0,4.0,,3.0,3.0,12.0,23.0,,,2.0,1.0,2.0,93.0
36,"Bradshaw, Daniel",10,9,7,17,,,,,5.0,,,,1.0,,,5.0,12.0,2.0,,6.0,,,100.0
16,"Brown, Jonathan",6,6,10,16,3,,,2.0,,2.0,1.0,3.0,1.0,1.0,,8.0,8.0,2.0,2.0,1.0,,,100.0
1,"Caracella, Blake",16,10,9,25,3,1.0,,2.0,,7.0,1.0,2.0,1.0,2.0,,7.0,18.0,1.0,3.0,,,2.0,94.0
19,"Charman, Jamie",4,3,3,7,1,1.0,15.0,3.0,,1.0,3.0,1.0,,1.0,,5.0,2.0,1.0,2.0,1.0,,,57.0
30,"Copeland, Robert",9,5,2,11,,,,4.0,5.0,2.0,1.0,2.0,,1.0,,3.0,7.0,,,6.0,,,100.0
32,"Hart, Shaun",13,7,5,18,1,,,1.0,,3.0,2.0,1.0,,,,3.0,15.0,,,2.0,4.0,1.0,100.0
27,"Keating, Clark",3,1,1,4,,1.0,15.0,,,2.0,,,,,,1.0,4.0,,1.0,2.0,,,52.0
11,"Lynch, Alastair",7,4,1,8,5,,,,,,1.0,1.0,,1.0,,2.0,5.0,1.0,4.0,2.0,,1.0,84.0
9,"McGrath, Ashley",6,3,,6,,,,1.0,3.0,2.0,,,,,,,7.0,,,1.0,,,69.0
4,"McRae, Craig",12,3,9,21,1,3.0,,,1.0,5.0,3.0,1.0,2.0,,,11.0,10.0,1.0,,2.0,2.0,3.0,90.0
15,"Michael, Mal",3,3,3,6,,1.0,,,1.0,,,,1.0,,,2.0,4.0,,,6.0,,1.0,58.0
8,"Notting, Tim",5,3,2,7,,1.0,1.0,1.0,,3.0,1.0,2.0,,,,1.0,6.0,,,1.0,1.0,,59.0
13,"Pike, Martin",8,5,15,23,,,,4.0,2.0,2.0,1.0,1.0,,,,8.0,15.0,,,2.0,,,96.0
6,"Power, Luke",18,10,10,28,2,2.0,,3.0,1.0,7.0,1.0,2.0,1.0,,,5.0,24.0,,2.0,1.0,3.0,1.0,100.0
5,"Scott, Brad",8,3,5,13,,,,1.0,6.0,1.0,,2.0,,2.0,,3.0,11.0,,,1.0,,1.0,57.0
22,"Scott, Chris",9,6,8,17,,,,1.0,2.0,,,2.0,,1.0,,7.0,9.0,1.0,,4.0,,,81.0
34,"Shattock, Aaron",7,3,5,12,1,,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,,3.0,9.0,,1.0,3.0,,,94.0
3,"Voss, Michael",10,2,16,26,,,,2.0,1.0,5.0,4.0,,,,1.0,7.0,18.0,,,,,1.0,91.0
33,"White, Darryl",3,3,4,7,1,,2.0,,,,,,,,,2.0,5.0,,2.0,3.0,,,29.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,104,147,350,20,17.0,34.0,34.0,36.0,60.0,32.0,32.0,8.0,13.0,6.0,104.0,247.0,9.0,22.0,48.0,11.0,13.0,
Opposition,Opposition,199,100,124,323,11,17.0,24.0,29.0,37.0,50.0,32.0,29.0,13.0,8.0,,103.0,217.0,4.0,12.0,49.0,15.0,9.0,
