North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
28,"Bastinac, Ryan",11,1,6,17,,1.0,,7.0,3.0,4.0,4.0,2.0,3.0,,,9.0,9.0,,,2.0,1.0,,79.0
33,"Campbell, Matt",9,4,5,14,,1.0,,6.0,,6.0,,3.0,,,,4.0,9.0,,,,1.0,1.0,79.0
10,"Cunnington, Ben",5,2,6,11,1,,,3.0,1.0,2.0,,1.0,,,,4.0,7.0,,,2.0,,1.0,71.0
11,"Firrito, Michael",7,6,10,17,,,,2.0,2.0,5.0,,3.0,1.0,1.0,,5.0,12.0,,,3.0,,1.0,96.0
32,"Garlett, Cruize",6,1,6,12,,,,4.0,,2.0,1.0,4.0,1.0,1.0,,3.0,10.0,,,,,1.0,60.0
22,"Goldstein, Todd",5,4,10,15,,1.0,16.0,3.0,,4.0,4.0,3.0,2.0,1.0,,10.0,5.0,1.0,,,,1.0,66.0
24,"Greenwood, Levi",10,4,4,14,1,,,4.0,1.0,2.0,2.0,,1.0,,,7.0,7.0,,1.0,,,,74.0
17,"Grima, Nathan",6,4,6,12,,,,1.0,3.0,,,,,,,4.0,8.0,,,3.0,,,100.0
31,"Hale, David",2,1,3,5,,,2.0,,,,,4.0,1.0,3.0,,3.0,3.0,1.0,,1.0,,,85.0
6,"Hansen, Lachlan",9,9,8,17,2,3.0,,1.0,,2.0,,1.0,,1.0,,7.0,9.0,4.0,5.0,1.0,,,88.0
29,"Harvey, Brent",14,5,16,30,1,,,2.0,1.0,6.0,5.0,2.0,,1.0,,9.0,21.0,,1.0,3.0,,,95.0
2,"Lower, Ed",6,5,9,15,1,,,3.0,,,3.0,1.0,1.0,1.0,,5.0,9.0,,2.0,1.0,,,59.0
1,"McIntosh, Hamish",4,3,7,11,1,1.0,17.0,,,3.0,,1.0,,,,3.0,8.0,2.0,,2.0,,,67.0
42,"McMahon, Scott",16,7,4,20,,,,2.0,5.0,,1.0,3.0,,2.0,,1.0,14.0,,,6.0,3.0,,100.0
30,"Pratt, Daniel",11,5,7,18,,,,4.0,3.0,,,2.0,1.0,1.0,,4.0,16.0,,,2.0,,,92.0
3,"Rawlings, Brady",13,9,9,22,,,,,4.0,4.0,,1.0,,,,3.0,18.0,,,,,,98.0
9,"Swallow, Andrew",11,3,10,21,2,,,7.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,13.0,9.0,1.0,1.0,1.0,,1.0,78.0
12,"Thomas, Lindsay",9,2,4,13,2,3.0,,4.0,,1.0,2.0,4.0,2.0,2.0,,8.0,5.0,,1.0,,,,90.0
16,"Thompson, Scott",6,,5,11,,,,1.0,4.0,,,2.0,2.0,2.0,,7.0,3.0,,,2.0,1.0,,100.0
8,"Wells, Daniel",7,3,7,14,,1.0,,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,3.0,12.0,,,,3.0,1.0,82.0
19,"Wright, Sam",6,5,2,8,1,1.0,,2.0,1.0,3.0,,1.0,,1.0,,1.0,7.0,,2.0,2.0,,2.0,75.0
7,"Ziebell, Jack",13,5,4,17,,2.0,,7.0,,2.0,,2.0,1.0,1.0,,4.0,12.0,,,1.0,,,66.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,88,148,334,12,18.0,35.0,66.0,30.0,50.0,29.0,46.0,20.0,22.0,1.0,117.0,213.0,9.0,13.0,32.0,9.0,9.0,
Opposition,Opposition,222,143,174,396,13,11.0,28.0,50.0,35.0,44.0,25.0,48.0,22.0,20.0,5.0,116.0,277.0,13.0,13.0,35.0,5.0,10.0,
