North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Anderson, Jed",11,3,2,13,1,2.0,,7.0,,,3.0,2.0,,,,7.0,6.0,,1.0,2.0,,1.0,80.0
18,"Atley, Shaun",12,5,4,16,,1.0,,2.0,1.0,5.0,,2.0,,1.0,,5.0,11.0,,1.0,,1.0,2.0,89.0
50,"Brown, Ben",13,9,1,14,7,2.0,,,,3.0,1.0,3.0,1.0,,3.0,7.0,7.0,3.0,5.0,3.0,,,97.0
13,"Clarke, Ryan",16,9,11,27,,1.0,,2.0,2.0,1.0,,2.0,1.0,1.0,,5.0,21.0,,,1.0,1.0,2.0,87.0
10,"Cunnington, Ben",10,4,11,21,1,2.0,,2.0,,2.0,4.0,,,,,11.0,10.0,,1.0,1.0,,,70.0
14,"Dumont, Trent",13,5,13,26,,,,6.0,3.0,5.0,6.0,3.0,3.0,1.0,,15.0,12.0,,,1.0,,,87.0
24,"Durdin, Sam",11,6,6,17,1,,,3.0,1.0,4.0,1.0,2.0,2.0,,,8.0,8.0,,,7.0,1.0,1.0,82.0
43,"Gibson, Sam",13,7,8,21,,1.0,,1.0,2.0,,1.0,4.0,1.0,1.0,,7.0,15.0,,,,1.0,,87.0
22,"Goldstein, Todd",5,4,11,16,1,,31.0,4.0,,3.0,5.0,1.0,2.0,,,6.0,11.0,,1.0,6.0,,,89.0
6,"Hansen, Lachlan",11,10,7,18,,,,,6.0,1.0,,2.0,1.0,2.0,,4.0,14.0,2.0,,2.0,,,86.0
4,"Higgins, Shaun",21,5,8,29,2,2.0,,3.0,1.0,12.0,6.0,5.0,,2.0,2.0,8.0,21.0,,,2.0,1.0,,80.0
8,"Hrovat, Nathan",10,7,8,18,1,1.0,,1.0,,3.0,1.0,5.0,,1.0,,6.0,12.0,,1.0,,,,80.0
11,"McDonald, Luke",21,9,6,27,,1.0,,2.0,4.0,7.0,3.0,3.0,2.0,,,7.0,21.0,,,3.0,2.0,1.0,94.0
23,"McKay, Ben",2,1,7,9,,,3.0,3.0,,,1.0,1.0,,,,3.0,6.0,,,1.0,,,50.0
42,"Mountford, Declan",5,2,5,10,,,,5.0,1.0,2.0,1.0,1.0,1.0,,,4.0,7.0,,,4.0,,,76.0
17,"Mullett, Aaron",16,8,5,21,,,,2.0,5.0,2.0,,2.0,,,,,18.0,,,2.0,2.0,,87.0
21,"Simpkin, Jy",9,4,8,17,1,,,,,2.0,2.0,1.0,,,,5.0,11.0,,,,3.0,,72.0
9,"Swallow, Andrew",13,4,9,22,,,,1.0,1.0,3.0,9.0,3.0,1.0,1.0,,11.0,13.0,,1.0,2.0,,,67.0
25,"Tarrant, Robbie",16,8,4,20,,,,,5.0,5.0,,1.0,,,,7.0,12.0,2.0,,3.0,2.0,,91.0
12,"Thomas, Lindsay",8,3,2,10,3,1.0,,5.0,,1.0,2.0,3.0,1.0,3.0,,6.0,5.0,1.0,2.0,,1.0,1.0,82.0
16,"Thompson, Scott",15,7,4,19,,,,3.0,3.0,3.0,,1.0,3.0,1.0,,7.0,13.0,1.0,,2.0,,,95.0
28,"Turner, Kayne",4,3,5,9,1,,,4.0,,1.0,1.0,3.0,1.0,,,4.0,5.0,,2.0,2.0,,3.0,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,255,123,145,400,19,16.0,34.0,56.0,35.0,65.0,47.0,50.0,20.0,14.0,5.0,143.0,259.0,9.0,15.0,44.0,15.0,11.0,
Opposition,Opposition,198,105,164,362,11,13.0,42.0,52.0,38.0,50.0,29.0,57.0,14.0,20.0,1.0,125.0,238.0,12.0,15.0,39.0,4.0,8.0,
