North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Ahern, Paul",21y 306d,1 (1-0-0 100.00%),,←,
3,"Anderson, Jed",24y 121d,36 (20-0-16 55.56%),14 (0.39),26 (13-0-13 50.00%),10 (0.38)
18,"Atley, Shaun",25y 263d,165 (86-0-79 52.12%),36 (0.22),←,
50,"Brown, Ben",25y 195d,88 (49-0-39 55.68%),189 (2.15),←,
10,"Cunnington, Ben",26y 338d,176 (93-0-83 52.84%),73 (0.41),←,
1,"Daw, Majak",27y 84d,39 (15-0-24 38.46%),30 (0.77),←,
14,"Dumont, Trent",22y 338d,50 (18-0-32 36.00%),17 (0.34),←,
22,"Goldstein, Todd",29y 337d,201 (104-1-96 51.99%),106 (0.53),←,
39,"Hartung, Billy",23y 130d,74 (50-1-23 68.24%),33 (0.45),11 (7-0-4 63.64%),6 (0.55)
4,"Higgins, Shaun",30y 91d,193 (93-1-99 48.45%),201 (1.04),64 (35-0-29 54.69%),73 (1.14)
5,"Jacobs, Ben",26y 145d,88 (45-0-43 51.14%),14 (0.16),62 (40-0-22 64.52%),9 (0.15)
34,"Macmillan, Jamie",26y 253d,128 (68-0-60 53.13%),44 (0.34),←,
11,"McDonald, Luke",23y 114d,85 (46-0-39 54.12%),13 (0.15),←,
40,"Murphy, Tom",20y 135d,1 (1-0-0 100.00%),,←,
12,"Simpkin, Jy",20y 90d,24 (10-0-14 41.67%),17 (0.71),←,
25,"Tarrant, Robbie",29y 39d,115 (57-0-58 49.57%),43 (0.37),←,
16,"Thompson, Scott",32y 25d,211 (103-2-106 49.29%),7 (0.03),←,
28,"Turner, Kayne",22y 154d,47 (26-0-21 55.32%),35 (0.74),←,
2,"Williams, Marley",24y 316d,92 (47-0-45 51.09%),10 (0.11),24 (11-0-13 45.83%),4 (0.17)
32,"Wood, Mason",24y 263d,31 (16-0-15 51.61%),41 (1.32),←,
19,"Wright, Sam",27y 323d,121 (70-0-51 57.85%),58 (0.48),←,
7,"Ziebell, Jack",27y 95d,177 (87-0-90 49.15%),116 (0.66),←,
Totals,Totals,25y 222d,2143 (1105-5-1033 51.56%),1097 (0.51),,
C,"Scott, Brad",42y 31d,190 (98-0-92 51.58%),,←,
