Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Ash, Lachie",15,6,1,16,,,,3.0,4.0,1.0,,1.0,,,,,11.0,,,3.0,,,82.0
44,"Buckley, Jack",10,7,2,12,,,,2.0,2.0,2.0,,2.0,1.0,,,5.0,8.0,2.0,,5.0,,,96.0
13,"Cumming, Isaac",22,1,2,24,,,,4.0,6.0,2.0,,6.0,,,,5.0,10.0,1.0,,1.0,,,83.0
24,"de Boer, Matt",4,2,6,10,,,,4.0,,3.0,,5.0,,2.0,,2.0,7.0,,,1.0,,1.0,77.0
31,"Finlayson, Jeremy",7,2,2,9,2,,,1.0,,2.0,,1.0,,,,3.0,6.0,,,1.0,,,79.0
30,"Flynn, Matt",3,6,9,12,2,,5.0,2.0,,,1.0,1.0,2.0,1.0,,10.0,4.0,4.0,5.0,5.0,,1.0,73.0
4,"Greene, Toby",13,4,3,16,1,4.0,,5.0,,6.0,1.0,1.0,2.0,,,10.0,6.0,2.0,1.0,2.0,1.0,2.0,86.0
12,"Green, Tom",7,5,11,18,,1.0,,2.0,2.0,2.0,3.0,4.0,1.0,,,8.0,10.0,,1.0,,,,78.0
19,"Haynes, Nick",16,14,10,26,,,,,4.0,2.0,1.0,2.0,,1.0,,7.0,20.0,1.0,,4.0,1.0,,80.0
37,"Hill, Bobby",5,1,,5,1,,,2.0,,2.0,,1.0,,,,1.0,3.0,,,,,,75.0
27,"Himmelberg, Harry",12,4,4,16,2,1.0,,1.0,,2.0,,1.0,1.0,1.0,,8.0,11.0,1.0,1.0,2.0,,2.0,95.0
2,"Hopper, Jacob",14,1,8,22,,,,,2.0,4.0,7.0,3.0,,3.0,,10.0,11.0,,,3.0,,,79.0
39,"Idun, Connor",8,5,6,14,,,,4.0,3.0,,,1.0,3.0,,,4.0,10.0,,,6.0,,,85.0
22,"Kelly, Josh",23,5,16,39,2,1.0,,6.0,3.0,8.0,6.0,6.0,2.0,1.0,3.0,17.0,23.0,,,2.0,1.0,,85.0
40,"Kennedy, Adam",6,3,5,11,,,,2.0,3.0,1.0,,2.0,,1.0,,5.0,6.0,,,1.0,,,81.0
38,"Lloyd, Daniel",10,3,4,14,2,,,,1.0,2.0,,2.0,1.0,,,6.0,8.0,,1.0,,,,81.0
41,"Mumford, Shane",1,1,6,7,,,23.0,4.0,,1.0,5.0,2.0,2.0,2.0,,7.0,1.0,,,2.0,,,72.0
33,"OHalloran, Xavier",,,,,,,,,,,,,,,,,,,,,,,
50,"Reid, Sam",8,4,7,15,,,,3.0,2.0,1.0,,2.0,,1.0,,6.0,7.0,,,,,1.0,91.0
42,"Stein, Jake",4,3,,4,,,,,,,,1.0,,,,3.0,2.0,1.0,,7.0,,,83.0
14,"Taranto, Tim",18,5,8,26,1,,,4.0,1.0,2.0,6.0,6.0,2.0,2.0,,17.0,12.0,,,3.0,,,78.0
8,"Ward, Callan",11,4,8,19,1,,,4.0,,5.0,3.0,3.0,2.0,2.0,,9.0,11.0,1.0,,1.0,,,77.0
6,"Whitfield, Lachie",15,6,6,21,,,,1.0,3.0,5.0,1.0,3.0,1.0,1.0,,5.0,16.0,,,2.0,,1.0,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,232,92,124,356,14,10.0,28.0,54.0,36.0,53.0,34.0,56.0,20.0,18.0,3.0,148.0,203.0,13.0,9.0,51.0,3.0,8.0,
Opposition,Opposition,220,105,140,360,14,10.0,34.0,60.0,38.0,51.0,36.0,59.0,18.0,20.0,3.0,120.0,230.0,10.0,16.0,46.0,4.0,10.0,
