Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bowden, Joel",30,11,12,42,2,,,3.0,4.0,8.0,5.0,1.0,3.0,,2.0,14.0,27.0,1.0,2.0,1.0,3.0,,99.0
7,"Brown, Nathan",17,6,7,24,,1.0,,,4.0,3.0,,5.0,3.0,1.0,,7.0,18.0,,1.0,3.0,,,100.0
17,"Campbell, Wayne",7,4,15,22,,,,2.0,4.0,,,1.0,1.0,1.0,,8.0,11.0,1.0,,1.0,1.0,,73.0
6,"Chaffey, Mark",8,7,10,18,,,,1.0,3.0,1.0,2.0,4.0,,3.0,,5.0,13.0,,,2.0,,,100.0
14,"Fiora, Aaron",10,5,4,14,,,,1.0,,3.0,,4.0,1.0,1.0,,2.0,12.0,,,1.0,1.0,,88.0
19,"Fleming, Tim",12,3,9,21,,,,4.0,1.0,5.0,6.0,2.0,1.0,,,9.0,14.0,,,1.0,,,72.0
34,"Fletcher, Simon",1,,3,4,,,,1.0,,,,1.0,,,,1.0,3.0,,,,,,52.0
2,"Gaspar, Darren",7,3,1,8,,,,2.0,1.0,,,,1.0,,,1.0,7.0,,,,,,87.0
20,"Hall, Ray",5,4,4,9,,,,1.0,1.0,,,5.0,,2.0,,3.0,6.0,,,9.0,,,100.0
33,"Hartigan, Brent",4,2,3,7,,,,,1.0,1.0,,,,,,1.0,4.0,,,2.0,2.0,,63.0
1,"Hilton, Rory",7,5,,7,,,,1.0,,3.0,,,1.0,,,1.0,6.0,,,,,1.0,66.0
31,"Hyde, Chris",6,3,8,14,,,,,1.0,,1.0,4.0,2.0,1.0,,8.0,8.0,,,,1.0,,92.0
28,"Johnson, Kane",15,4,11,26,,,,3.0,4.0,4.0,4.0,2.0,2.0,,,8.0,17.0,,,,,1.0,92.0
39,"Kellaway, Andrew",7,5,7,14,,1.0,,3.0,6.0,2.0,,2.0,1.0,,,4.0,10.0,,,5.0,1.0,,100.0
27,"Krakouer, Andrew",3,1,2,5,1,,,5.0,,1.0,4.0,1.0,1.0,,,5.0,1.0,,,1.0,,,79.0
35,"Newman, Chris",4,2,3,7,,,,4.0,1.0,,,,,,,3.0,3.0,,,3.0,,,100.0
5,"Ottens, Brad",4,3,10,14,,,11.0,2.0,,,4.0,5.0,1.0,1.0,,7.0,7.0,,1.0,2.0,,,81.0
12,"Richardson, Matthew",7,3,5,12,1,2.0,,,,3.0,,2.0,1.0,,,6.0,7.0,,,,,,100.0
22,"Roach, Tom",5,1,3,8,,1.0,,,,1.0,,,,,,4.0,4.0,,,,,,39.0
25,"Schulz, Jay",1,1,2,3,1,,2.0,4.0,,,,1.0,,,,1.0,2.0,,1.0,,,,57.0
10,"Stafford, Greg",5,4,3,8,1,,8.0,2.0,,3.0,3.0,1.0,1.0,,,4.0,4.0,1.0,2.0,,,1.0,74.0
32,"Tivendale, Greg",9,2,7,16,1,1.0,,2.0,1.0,3.0,2.0,1.0,,1.0,,2.0,14.0,,,,2.0,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,174,79,129,303,7,8.0,21.0,41.0,32.0,41.0,31.0,42.0,20.0,11.0,2.0,104.0,198.0,3.0,7.0,31.0,11.0,3.0,
Opposition,Opposition,216,105,160,376,19,14.0,41.0,47.0,33.0,56.0,31.0,46.0,11.0,20.0,4.0,111.0,258.0,8.0,12.0,38.0,19.0,12.0,
