Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Astbury, David",10,5,6,16,,,,1.0,4.0,1.0,,2.0,1.0,1.0,,7.0,8.0,3.0,,4.0,,,92.0
48,"Baker, Liam",6,1,14,20,,,,3.0,2.0,2.0,,4.0,,2.0,,10.0,12.0,,,1.0,,,76.0
29,"Bolton, Shai",6,3,16,22,,,,3.0,1.0,4.0,1.0,3.0,,,,10.0,11.0,1.0,,1.0,1.0,1.0,85.0
35,"Broad, Nathan",8,5,9,17,,,,,1.0,,1.0,2.0,,,,5.0,12.0,2.0,,6.0,,,86.0
11,"Castagna, Jason",10,4,9,19,1,1.0,,4.0,,1.0,1.0,2.0,2.0,,,5.0,12.0,,1.0,,,1.0,90.0
41,"Chol, Mabior",5,2,5,10,1,,7.0,5.0,,3.0,1.0,1.0,2.0,,,7.0,4.0,,,2.0,,1.0,59.0
9,"Cotchin, Trent",12,2,10,22,,,,6.0,,3.0,5.0,4.0,2.0,1.0,,9.0,13.0,,,1.0,,,77.0
10,"Edwards, Shane",6,5,13,19,1,,,1.0,,1.0,,4.0,,3.0,,8.0,13.0,1.0,,2.0,,1.0,82.0
5,"Ellis, Brandon",13,5,14,27,1,,,,1.0,3.0,,4.0,,2.0,,7.0,23.0,,,3.0,1.0,1.0,84.0
34,"Graham, Jack",9,2,9,18,1,,,6.0,2.0,4.0,2.0,3.0,1.0,1.0,,3.0,13.0,,,1.0,,,70.0
2,"Grimes, Dylan",9,8,4,13,,,,3.0,2.0,1.0,1.0,1.0,1.0,,,6.0,8.0,2.0,,8.0,,,93.0
14,"Houli, Bachar",10,4,18,28,,,,1.0,3.0,1.0,,1.0,1.0,1.0,,7.0,21.0,,,1.0,4.0,,79.0
23,"Lambert, Kane",9,3,13,22,,,,4.0,2.0,3.0,1.0,5.0,1.0,1.0,,9.0,15.0,,,1.0,,,82.0
19,"Lynch, Tom",13,9,6,19,3,4.0,,1.0,,5.0,,3.0,2.0,2.0,,13.0,6.0,4.0,5.0,3.0,,1.0,91.0
4,"Martin, Dustin",15,3,15,30,1,,,1.0,,8.0,5.0,4.0,,,3.0,9.0,20.0,,,,3.0,1.0,86.0
3,"Prestia, Dion",16,6,14,30,1,1.0,,4.0,7.0,5.0,6.0,7.0,2.0,3.0,2.0,13.0,17.0,,,,,,83.0
8,"Riewoldt, Jack",10,5,,10,3,1.0,,1.0,,2.0,,2.0,1.0,1.0,,5.0,5.0,3.0,2.0,2.0,,,80.0
17,"Rioli, Daniel",6,3,10,16,1,,,3.0,,2.0,,2.0,2.0,1.0,,4.0,14.0,,1.0,2.0,,1.0,86.0
15,"Short, Jayden",8,1,7,15,,,,2.0,4.0,1.0,,1.0,,,,1.0,13.0,,,2.0,4.0,,83.0
47,"Soldo, Ivan",6,5,4,10,1,,27.0,2.0,,2.0,1.0,2.0,1.0,1.0,,4.0,6.0,2.0,1.0,1.0,,,70.0
44,"Stack, Sydney",3,3,15,18,,2.0,,4.0,,1.0,,1.0,,,,6.0,11.0,,1.0,1.0,,3.0,77.0
1,"Vlastuin, Nick",12,8,9,21,,,,2.0,7.0,1.0,,4.0,,1.0,,5.0,15.0,,,3.0,1.0,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,92,220,422,15,11.0,34.0,57.0,36.0,54.0,25.0,62.0,19.0,21.0,5.0,153.0,272.0,18.0,11.0,45.0,14.0,11.0,
Opposition,Opposition,208,98,186,394,9,9.0,24.0,53.0,38.0,45.0,36.0,57.0,21.0,19.0,1.0,132.0,258.0,11.0,8.0,55.0,2.0,6.0,
