St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
28,"Ackland, Cain",1,1,1,2,,,4.0,,1.0,,,2.0,,1.0,,1.0,1.0,,,,,,39.0
10,"Baker, Steven",12,8,2,14,1,,,1.0,2.0,6.0,1.0,1.0,2.0,1.0,,5.0,10.0,,,5.0,1.0,,98.0
14,"Ball, Luke",14,4,7,21,2,,,6.0,,6.0,5.0,1.0,1.0,,,11.0,10.0,,,1.0,1.0,2.0,91.0
27,"Blake, Jason",9,6,8,17,,,15.0,,1.0,2.0,2.0,3.0,2.0,1.0,,4.0,13.0,,,,,1.0,71.0
3,"Clarke, Xavier",8,3,7,15,1,,,2.0,1.0,3.0,2.0,,,,,6.0,9.0,,,1.0,6.0,2.0,75.0
26,"Dal Santo, Nick",16,7,6,22,,,1.0,5.0,,7.0,1.0,4.0,1.0,1.0,,7.0,13.0,2.0,,3.0,4.0,1.0,95.0
22,"Fiora, Aaron",3,2,2,5,,1.0,,,,1.0,1.0,,,,,2.0,3.0,,1.0,1.0,,,44.0
25,"Fisher, Sam",20,11,3,23,,,,,6.0,1.0,,3.0,1.0,2.0,,3.0,20.0,1.0,,2.0,4.0,,95.0
15,"Gram, Jason",15,7,6,21,,,,1.0,6.0,3.0,2.0,5.0,,3.0,,4.0,15.0,,,6.0,7.0,1.0,100.0
2,"Hamill, Aaron",10,5,4,14,4,,,3.0,,2.0,1.0,3.0,2.0,2.0,,5.0,9.0,1.0,2.0,2.0,,,94.0
35,"Harvey, Robert",13,10,10,23,,,,3.0,1.0,3.0,3.0,4.0,2.0,,,9.0,15.0,,,2.0,,1.0,74.0
7,"Hayes, Lenny",9,1,11,20,,,,5.0,4.0,3.0,5.0,6.0,,3.0,,10.0,10.0,,,3.0,,,96.0
8,"Hudghton, Max",7,6,2,9,,,,5.0,3.0,,,2.0,,2.0,,4.0,5.0,2.0,,4.0,,,100.0
23,"Koschitzke, Justin",2,2,1,3,,,,,,1.0,,,1.0,,,1.0,3.0,,1.0,,,,33.0
31,"Maguire, Matt",8,5,1,9,,,,2.0,1.0,2.0,,2.0,,1.0,,3.0,6.0,,,2.0,,,79.0
32,"McQualter, Andrew",10,9,6,16,1,,,2.0,1.0,6.0,1.0,2.0,,,,5.0,11.0,,2.0,3.0,,1.0,97.0
44,"Milne, Stephen",10,2,3,13,2,2.0,,,1.0,1.0,,5.0,1.0,1.0,,8.0,4.0,,2.0,,,1.0,84.0
11,"Montagna, Leigh",8,2,2,10,,1.0,,6.0,,2.0,2.0,2.0,,2.0,,4.0,6.0,,,3.0,1.0,1.0,93.0
12,"Riewoldt, Nick",8,7,4,12,3,3.0,,,,,,,,,,5.0,7.0,2.0,5.0,1.0,,,100.0
40,"Schwarze, Troy",8,4,2,10,3,1.0,1.0,2.0,,3.0,1.0,3.0,,1.0,,5.0,5.0,1.0,3.0,2.0,1.0,1.0,100.0
4,"Thompson, Andrew",4,3,8,12,,,,3.0,,1.0,4.0,1.0,1.0,1.0,,6.0,6.0,,,1.0,,,79.0
13,"Voss, Brett",4,3,6,10,1,,1.0,1.0,,,2.0,1.0,1.0,,,8.0,3.0,1.0,1.0,3.0,,,61.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,108,102,301,18,10.0,22.0,47.0,28.0,53.0,33.0,50.0,15.0,22.0,,116.0,184.0,10.0,17.0,45.0,25.0,12.0,
Opposition,Opposition,209,117,127,336,19,8.0,33.0,43.0,38.0,46.0,25.0,36.0,22.0,15.0,6.0,113.0,222.0,10.0,20.0,60.0,17.0,9.0,
