St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Billings, Jack",12,3.0,10.0,22,,,,2.0,4.0,3.0,4.0,3.0,1.0,,,8,13,,,1.0,,,90.0
16,"Butler, Dan",9,4.0,,9,2.0,1.0,,6.0,,2.0,,1.0,,,,2,7,,2.0,,,,87.0
2,"Carlisle, Jake",8,4.0,5.0,13,,,,,3.0,,,2.0,,,,4,8,,,5.0,,,91.0
11,"Clark, Hunter",17,3.0,7.0,24,,,,2.0,5.0,2.0,2.0,5.0,3.0,2.0,,9,14,,,3.0,,,80.0
1,"Coffield, Nick",6,4.0,1.0,7,,,,1.0,,,,1.0,,1.0,,2,5,,,1.0,,,75.0
14,"Geary, Jarryn",4,3.0,3.0,7,,,,,1.0,,1.0,2.0,,1.0,,2,5,,,2.0,,,85.0
4,"Gresham, Jade",13,1.0,10.0,23,1.0,,,,,4.0,5.0,4.0,,,,9,9,,,,1.0,2.0,81.0
8,"Hill, Bradley",11,4.0,5.0,16,,,,1.0,1.0,2.0,1.0,2.0,,,,3,11,,,1.0,,,85.0
40,"Hind, Nick",5,1.0,7.0,12,1.0,,,4.0,1.0,2.0,2.0,4.0,2.0,2.0,,7,5,,,1.0,1.0,1.0,68.0
20,"Howard, Dougal",7,5.0,1.0,8,,,,3.0,2.0,,,6.0,,,,2,6,,,11.0,,,95.0
3,"Jones, Zak",12,2.0,8.0,20,,,,2.0,3.0,3.0,8.0,5.0,2.0,3.0,2.0,13,8,,,1.0,,,83.0
25,"Kent, Dean",4,2.0,2.0,6,1.0,,,,,3.0,,,,,,4,3,1.0,,2.0,,,69.0
12,"King, Max",4,2.0,4.0,8,1.0,,,2.0,,,,2.0,2.0,1.0,,6,2,2.0,1.0,2.0,,,88.0
19,"Marshall, Rowan",14,3.0,1.0,15,2.0,,11.0,5.0,,5.0,7.0,3.0,5.0,2.0,,13,3,1.0,1.0,3.0,,,85.0
28,"Membrey, Tim",6,3.0,3.0,9,2.0,,,1.0,,2.0,,2.0,,1.0,,5,2,2.0,,1.0,,,90.0
34,"Parker, Matthew",3,,3.0,6,,,,1.0,,2.0,,3.0,2.0,1.0,,6,1,,,2.0,,1.0,68.0
33,"Paton, Ben",10,7.0,6.0,16,,,,2.0,3.0,2.0,,2.0,1.0,,,6,12,,,2.0,,,87.0
6,"Ross, Sebastian",10,1.0,8.0,18,,,,3.0,,1.0,4.0,4.0,1.0,,,6,11,,,,,,58.0
18,"Ryder, Paddy",4,2.0,6.0,10,2.0,,29.0,,,,1.0,,2.0,,1.0,6,4,,,3.0,,,78.0
35,"Sinclair, Jack",10,4.0,5.0,15,,,,2.0,1.0,5.0,2.0,1.0,,,,4,9,,,,,,77.0
9,"Steele, Jack",9,2.0,12.0,21,,,,6.0,,3.0,4.0,2.0,,,3.0,10,11,,,4.0,,,94.0
44,"Wilkie, Callum",8,2.0,1.0,9,,,,1.0,4.0,,,3.0,,1.0,,2,5,,,2.0,,,87.0
Totals,Totals,186,62.0,108.0,294,12.0,1.0,40.0,44.0,28.0,41.0,41.0,57.0,21.0,15.0,6.0,129,154,6.0,4.0,47.0,2.0,4.0,
Opposition,Opposition,158,58.0,109.0,267,6.0,8.0,16.0,43.0,29.0,36.0,31.0,61.0,15.0,21.0,,118,146,12.0,9.0,60.0,2.0,6.0,
