West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
6,"Banfield, Drew",23y 136d,92 (60-0-32 65.22%),31 (0.34),←,
32,"Blurton, Ashley",22y 130d,9 (5-0-4 55.56%),2 (0.22),←,
38,"Braun, Michael",19y 111d,5 (2-0-3 40.00%),1 (0.20),←,
18,"Evans, Tony",28y 29d,96 (65-0-31 67.71%),73 (0.76),←,
19,"Gardiner, Michael",18y 8d,2 (2-0-0 100.00%),4 (2.00),←,
7,"Gehrig, Fraser",21y 132d,54 (33-0-21 61.11%),44 (0.81),←,
14,"Grgic, Ilija",25y 130d,77 (40-1-36 52.60%),104 (1.35),15 (8-0-7 53.33%),12 (0.80)
1,"Heady, Brett",27y 190d,132 (84-2-46 64.39%),205 (1.55),←,
27,"Jakovich, Glen",24y 111d,133 (86-1-46 65.04%),25 (0.19),←,
2,"Kemp, Dean",28y 146d,167 (113-2-52 68.26%),91 (0.54),←,
11,"McIntosh, Ashley",24y 266d,125 (86-0-39 68.80%),91 (0.73),←,
17,"McKenna, Guy",28y 63d,207 (133-1-73 64.49%),25 (0.12),←,
42,"Morrison, Chad",19y 106d,33 (21-0-12 63.64%),32 (0.97),←,
21,"Schofield, Jarrad",22y 164d,41 (27-0-14 65.85%),27 (0.66),←,
22,"Stone, Nicholas",24y 297d,7 (4-0-3 57.14%),4 (0.57),←,
4,"Sumich, Peter",29y 183d,143 (95-2-46 67.13%),498 (3.48),←,
16,"Symmons, Paul",23y 314d,54 (32-0-22 59.26%),15 (0.28),←,
50,"Turnbull, Ryan",25y 293d,87 (57-0-30 65.52%),22 (0.25),←,
39,"Waterman, Chris",28y 297d,146 (96-2-48 66.44%),70 (0.48),←,
44,"Wirrpanda, David",17y 344d,11 (7-0-4 63.64%),6 (0.55),←,
13,"Wooden, Josh",18y 241d,10 (4-0-6 40.00%),2 (0.20),←,
Totals,Totals,23y 332d,1631 (1052-11-568 64.50%),1372 (0.84),,
C,"Malthouse, Mick",43y 330d,322 (193-4-125 60.56%),,187 (126-2-59 67.91%),
