Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Breuer, Shayne",8,4,3,11,1,1.0,1.0,2.0,,4.0,,,1.0,,,4.0,9.0,2.0,,,,,
26,"Burgoyne, Peter",15,4,7,22,1,,,3.0,1.0,5.0,9.0,1.0,1.0,2.0,,8.0,14.0,,,,2.0,,
12,"Cockatoo-Collins, Che",11,7,6,17,3,2.0,,,,2.0,1.0,,4.0,,,8.0,9.0,,4.0,1.0,,,
28,"Daniels, Stephen",4,1,2,6,,,2.0,,2.0,1.0,1.0,,,1.0,,2.0,3.0,,,,1.0,,
37,"Dew, Stuart",4,1,1,5,2,1.0,,,,1.0,1.0,,,,,2.0,3.0,,1.0,1.0,,,
19,"Dickie, Donald",1,,3,4,,,,,,,,,1.0,,,4.0,1.0,,,,,,
11,"Eagleton, Nathan",5,2,6,11,,,,2.0,1.0,3.0,2.0,3.0,,2.0,,4.0,7.0,,,,1.0,,
8,"Francis, Fabian",14,4,7,21,,,,2.0,3.0,3.0,1.0,1.0,,2.0,,7.0,13.0,2.0,1.0,2.0,,,
31,"French, Barnaby",1,2,9,10,,,16.0,1.0,,1.0,3.0,1.0,2.0,2.0,,6.0,4.0,,,1.0,,,
38,"James, Roger",1,1,2,3,,,,,,1.0,,,,,,,3.0,,,2.0,,,
29,"Kingsley, Adam",16,4,5,21,,1.0,,1.0,1.0,4.0,6.0,1.0,3.0,,,10.0,12.0,1.0,,2.0,5.0,,
20,"Lade, Brendon",4,3,5,9,,,22.0,,1.0,3.0,3.0,1.0,,2.0,,5.0,4.0,,,1.0,,,
22,"Lockwood, Bowen",2,1,,2,,,,,,2.0,,,,,,1.0,1.0,,,,,,
9,"Lyle, Brayden",9,3,7,16,,,,,2.0,3.0,6.0,2.0,1.0,,,6.0,10.0,,,1.0,,,
33,"Mead, Darren",9,4,7,16,,,,2.0,4.0,2.0,2.0,,3.0,,,7.0,11.0,1.0,,2.0,,,
14,"Paxman, Stephen",7,3,4,11,,,,,4.0,,,,2.0,,,5.0,4.0,,,1.0,,,
6,"Schofield, Jarrad",4,,,4,,,,,,1.0,2.0,,,,,2.0,4.0,,,,1.0,,
34,"Steinberner, Nathan",5,1,7,12,1,,,1.0,2.0,2.0,1.0,1.0,,2.0,,2.0,12.0,,,,,,
36,"Stevens, Nick",11,4,9,20,,,,1.0,2.0,1.0,6.0,1.0,3.0,3.0,,7.0,13.0,,,2.0,,,
16,"Tredrea, Warren",10,6,4,14,2,,1.0,1.0,,3.0,1.0,1.0,2.0,,,6.0,8.0,1.0,2.0,,,,
1,"Wanganeen, Gavin",5,2,9,14,,,,2.0,4.0,,1.0,1.0,,1.0,,7.0,8.0,,,,,,
15,"Wilson, Michael",6,1,,6,1,,,,1.0,3.0,2.0,1.0,,1.0,,1.0,5.0,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,152,58,103,255,11,6.0,42.0,18.0,28.0,45.0,48.0,15.0,23.0,18.0,,104.0,158.0,7.0,8.0,16.0,10.0,,
Opposition,Opposition,196,87,125,321,21,11.0,32.0,22.0,31.0,58.0,44.0,17.0,18.0,23.0,6.0,123.0,210.0,14.0,19.0,14.0,13.0,,
