Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",19y 138d,4 (2-0-2 50.00%),3 (0.75),←,
12,"Akermanis, Jason",28y 37d,215 (137-4-74 64.65%),270 (1.26),177 (114-3-60 65.25%),226 (1.28)
36,"Bradshaw, Daniel",26y 132d,142 (90-2-50 64.08%),267 (1.88),139 (87-2-50 63.31%),267 (1.92)
30,"Copeland, Robert",23y 311d,79 (60-0-19 75.95%),18 (0.23),←,
18,"Corrie, Anthony",20y 284d,10 (5-0-5 50.00%),3 (0.30),←,
2,"Johnson, Chris",28y 307d,224 (113-3-108 51.12%),152 (0.68),165 (106-3-56 65.15%),85 (0.52)
27,"Keating, Clark",29y 14d,119 (80-2-37 68.07%),75 (0.63),105 (70-1-34 67.14%),66 (0.63)
44,"Lappin, Nigel",28y 285d,243 (146-4-93 60.91%),163 (0.67),182 (114-3-65 63.46%),123 (0.68)
23,"Leppitsch, Justin",29y 183d,211 (128-4-79 61.61%),193 (0.91),167 (106-3-58 64.37%),135 (0.81)
4,"Logan, Tom",19y 274d,1 (0-0-1 0.00%),,←,
26,"Macdonald, Joel",20y 174d,13 (9-0-4 69.23%),1 (0.08),←,
9,"McGrath, Ashley",21y 317d,53 (36-1-16 68.87%),27 (0.51),←,
25,"McLaren, Dylan",22y 329d,31 (24-0-7 77.42%),2 (0.06),←,
21,"Merrett, Daniel",20y 111d,1 (0-0-1 0.00%),1 (1.00),←,
15,"Michael, Mal",27y 282d,160 (94-1-65 59.06%),26 (0.16),99 (73-1-25 74.24%),3 (0.03)
8,"Notting, Tim",26y 163d,115 (81-1-33 70.87%),96 (0.83),←,
13,"Pike, Martin",32y 139d,240 (142-1-97 59.38%),125 (0.52),99 (72-1-26 73.23%),66 (0.67)
6,"Power, Luke",25y 84d,136 (92-1-43 68.01%),151 (1.11),←,
22,"Scott, Chris",28y 334d,202 (123-3-76 61.63%),69 (0.34),147 (96-2-49 65.99%),46 (0.31)
28,"Selwood, Troy",20y 336d,2 (1-0-1 50.00%),,←,
3,"Voss, Michael",29y 269d,249 (151-2-96 61.04%),231 (0.93),170 (113-1-56 66.76%),159 (0.94)
33,"White, Darryl",31y 294d,260 (143-5-112 55.96%),162 (0.62),170 (104-3-63 62.06%),56 (0.33)
Totals,Totals,25y 218d,2710 (1657-34-1019 61.14%),2035 (0.75),,
C,"Matthews, Leigh",53y 32d,376 (232-6-138 62.50%),,152 (107-1-44 70.72%),
