Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Adams, Marcus",11,5,5,16,,,,1.0,3.0,1.0,,,1.0,,,5.0,12.0,1.0,,6.0,,,83.0
4,"Ah Chee, Callum",6,,7,13,1,,,6.0,,5.0,,3.0,,1.0,,8.0,6.0,,,2.0,,2.0,85.0
31,"Andrews, Harris",7,10,8,15,,,,1.0,4.0,,,2.0,,2.0,,6.0,9.0,2.0,,12.0,,,98.0
33,"Bailey, Zac",12,4,9,21,1,1.0,,4.0,2.0,2.0,3.0,6.0,1.0,3.0,,7.0,11.0,,1.0,1.0,,,70.0
13,"Berry, Tom",,,,,,,,,,,,,,,,,,,,,,,
14,"Birchall, Grant",18,10,7,25,,,,2.0,8.0,2.0,1.0,3.0,,,,5.0,14.0,,,,,,89.0
23,"Cameron, Charlie",11,6,2,13,4,4.0,,4.0,,,2.0,1.0,,1.0,,5.0,8.0,,4.0,2.0,1.0,,83.0
3,"Daniher, Joe",15,7,2,17,2,,3.0,,,6.0,2.0,3.0,1.0,2.0,,7.0,9.0,2.0,3.0,3.0,2.0,1.0,88.0
30,"Hipwood, Eric",3,3,5,8,,,,1.0,,1.0,,3.0,,2.0,,4.0,5.0,,1.0,5.0,,1.0,88.0
35,"Lester, Ryan",3,1,5,8,,,,1.0,1.0,1.0,,1.0,,1.0,,5.0,4.0,,,2.0,,,81.0
17,"Lyons, Jarryd",18,5,10,28,,,,4.0,2.0,3.0,7.0,1.0,1.0,,,16.0,11.0,,,1.0,,,84.0
42,"Madden, James",4,,7,11,,,,2.0,4.0,,1.0,3.0,,,,10.0,2.0,,,3.0,,,78.0
36,"Mathieson, Rhys",6,3,8,14,,,,5.0,,5.0,,1.0,,,,7.0,7.0,,,,,,75.0
11,"McCarthy, Lincoln",13,3,5,18,1,2.0,,1.0,,3.0,2.0,2.0,4.0,,2.0,9.0,9.0,1.0,1.0,1.0,,3.0,81.0
6,"McCluggage, Hugh",23,5,7,30,1,3.0,,3.0,5.0,4.0,6.0,5.0,,,3.0,14.0,16.0,,1.0,,,1.0,81.0
46,"McInerney, Oscar",4,1,7,11,,1.0,20.0,2.0,,4.0,3.0,1.0,3.0,1.0,,10.0,3.0,,1.0,5.0,,1.0,74.0
25,"McStay, Daniel",4,2,4,8,1,,1.0,5.0,,4.0,1.0,3.0,,2.0,,4.0,5.0,1.0,1.0,4.0,,1.0,84.0
20,"Prior, Jaxon",9,5,4,13,1,,,1.0,1.0,6.0,1.0,2.0,1.0,2.0,,4.0,9.0,,,1.0,,,76.0
10,"Rich, Daniel",19,5,2,21,,,,1.0,8.0,1.0,,3.0,,,,4.0,9.0,1.0,,2.0,,,81.0
2,"Robertson, Deven",5,2,9,14,,,,2.0,,1.0,,3.0,,1.0,,7.0,7.0,,,4.0,,,69.0
5,"Robinson, Mitch",18,4,4,22,,1.0,,4.0,3.0,3.0,1.0,7.0,3.0,2.0,,7.0,14.0,1.0,1.0,,,,79.0
37,"Starcevich, Brandon",11,7,3,14,,,,,7.0,1.0,,7.0,,2.0,,4.0,12.0,1.0,,2.0,,,89.0
15,"Zorko, Dayne",14,5,5,19,1,,,6.0,2.0,2.0,2.0,2.0,3.0,,,6.0,12.0,,,,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,234,93,125,359,13,15.0,24.0,56.0,50.0,55.0,32.0,62.0,18.0,22.0,5.0,154.0,194.0,10.0,14.0,56.0,3.0,10.0,
Opposition,Opposition,205,88,158,363,5,14.0,33.0,50.0,39.0,58.0,29.0,63.0,22.0,18.0,1.0,135.0,220.0,13.0,14.0,41.0,1.0,5.0,
