St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
27,"Beveridge, Luke",27y 289d,106 (62-1-43 58.96%),97 (0.92),33 (19-0-14 57.58%),27 (0.82)
2,"Brown, Tony",21y 11d,65 (38-0-27 58.46%),38 (0.58),←,
3,"Burke, Nathan",28y 122d,237 (110-2-125 46.84%),89 (0.38),←,
41,"Campbell, Brad",22y 169d,6 (6-0-0 100.00%),,←,
38,"Elliott, Tim",21y 269d,3 (2-0-1 66.67%),,←,
10,"Everitt, Peter",24y 36d,102 (53-1-48 52.45%),170 (1.67),←,
25,"Hall, Barry",21y 120d,28 (19-0-9 67.86%),20 (0.71),←,
35,"Harvey, Robert",26y 291d,190 (99-2-89 52.63%),114 (0.60),←,
6,"Healy, Daniel",24y 36d,25 (16-0-9 64.00%),17 (0.68),←,
24,"Heatley, Jason",26y 107d,33 (24-0-9 72.73%),102 (3.09),30 (21-0-9 70.00%),94 (3.13)
8,"Hudghton, Max",21y 279d,28 (19-0-9 67.86%),,←,
5,"Jones, Austinn",21y 253d,77 (41-0-36 53.25%),69 (0.90),←,
11,"Mitchell, Gavin",25y 162d,47 (21-0-26 44.68%),34 (0.72),11 (8-0-3 72.73%),16 (1.45)
1,"Peckett, Justin",25y 246d,106 (51-1-54 48.58%),6 (0.06),←,
13,"Sierakowski, David",23y 161d,63 (33-1-29 53.17%),13 (0.21),←,
19,"Sziller, Steven",25y 175d,66 (38-0-28 57.58%),22 (0.33),←,
29,"Thompson, Andrew",25y 230d,32 (23-0-9 71.88%),22 (0.69),←,
32,"Traianidis, Jason",23y 213d,24 (13-0-11 54.17%),18 (0.75),←,
15,"Wakelin, Darryl",23y 301d,67 (38-0-29 56.72%),6 (0.09),←,
12,"Wakelin, Shane",23y 300d,61 (30-1-30 50.00%),17 (0.28),←,
7,"Winmar, Nicky",32y 256d,218 (102-1-115 47.02%),276 (1.27),←,
20,"Young, Matthew",25y 264d,67 (38-0-29 56.72%),17 (0.25),46 (29-0-17 63.04%),11 (0.24)
Totals,Totals,24y 245d,1651 (876-10-765 53.06%),1147 (0.69),,
C,"Alves, Stan",52y 17d,102 (50-1-51 49.51%),,←,
