Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
21,"Barry, Leo",22y 66d,49 (29-0-20 59.18%),34 (0.69),←,
24,"Bolton, Jude",19y 131d,3 (2-0-1 66.67%),1 (0.33),←,
15,"Carey, Stefan",23y 180d,45 (25-1-19 56.67%),22 (0.49),←,
41,"Cook, Troy",22y 346d,42 (24-0-18 57.14%),11 (0.26),←,
8,"Cresswell, Daryn",28y 63d,157 (65-1-91 41.72%),127 (0.81),←,
28,"Crouch, Jared",21y 141d,35 (19-0-16 54.29%),5 (0.14),←,
6,"Dunkley, Andrew",31y 25d,156 (65-2-89 42.31%),9 (0.06),←,
10,"Filandia, Peter",29y 71d,76 (39-1-36 51.97%),49 (0.64),63 (32-1-30 51.59%),35 (0.56)
12,"Fosdike, Nic",19y 148d,11 (7-0-4 63.64%),8 (0.73),←,
37,"Goodes, Adam",19y 197d,17 (9-0-8 52.94%),16 (0.94),←,
3,"Lewis, Dale",30y 81d,155 (55-2-98 36.13%),168 (1.08),←,
4,"Lockett, Tony",33y 137d,272 (122-1-149 45.04%),1330 (4.89),89 (54-1-34 61.24%),432 (4.85)
34,"Luff, Troy",29y 244d,117 (55-2-60 47.86%),72 (0.62),←,
36,"Mathews, Ben",20y 237d,15 (9-0-6 60.00%),3 (0.20),←,
11,"Maxfield, Stuart",27y 106d,175 (89-2-84 51.43%),108 (0.62),86 (54-1-31 63.37%),43 (0.50)
23,"Nicks, Matthew",24y 72d,67 (40-0-27 59.70%),25 (0.37),←,
16,"OConnor, Ryan",25y 27d,74 (37-3-34 52.03%),47 (0.64),11 (5-0-6 45.45%),
22,"Saddington, Jason",19y 274d,39 (22-0-17 56.41%),16 (0.41),←,
2,"Schwass, Wayne",30y 239d,223 (124-0-99 55.61%),125 (0.56),39 (23-0-16 58.97%),28 (0.72)
7,"Seymour, Brad",23y 82d,87 (46-1-40 53.45%),7 (0.08),←,
1,"Stafford, Greg",24y 331d,84 (39-1-44 47.02%),23 (0.27),←,
20,"Stevens, John",28y 39d,53 (32-0-21 60.38%),29 (0.55),←,
Totals,Totals,25y 64d,1952 (954-17-981 48.87%),2235 (1.14),,
C,"Eade, Rodney",41y 111d,89 (54-1-34 61.24%),,←,
