Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",23y 242d,70 (42-0-28 60.00%),18 (0.26),←,
21,"Barry, Leo",29y 64d,187 (108-0-79 57.75%),50 (0.27),←,
42,"Bevan, Paul",21y 298d,43 (26-0-17 60.47%),10 (0.23),←,
6,"Bolton, Craig",26y 52d,118 (72-0-46 61.02%),20 (0.17),89 (55-0-34 61.80%),10 (0.11)
24,"Bolton, Jude",26y 129d,155 (84-1-70 54.52%),76 (0.49),←,
32,"Buchanan, Amon",23y 285d,64 (38-0-26 59.38%),30 (0.47),←,
26,"Dempster, Sean",22y 183d,31 (20-0-11 64.52%),3 (0.10),←,
12,"Fosdike, Nic",26y 146d,132 (70-1-61 53.41%),57 (0.43),←,
37,"Goodes, Adam",26y 195d,177 (96-1-80 54.52%),181 (1.02),←,
39,"Grundy, Heath",20y 50d,1 (1-0-0 100.00%),3 (3.00),←,
1,"Hall, Barry",29y 164d,195 (96-2-97 49.74%),467 (2.39),107 (62-1-44 58.41%),323 (3.02)
16,"Jolly, Darren",24y 258d,88 (46-0-42 52.27%),21 (0.24),40 (26-0-14 65.00%),10 (0.25)
17,"Kennelly, Tadhg",25y 21d,114 (69-0-45 60.53%),27 (0.24),←,
31,"Kirk, Brett",29y 270d,139 (78-1-60 56.47%),57 (0.41),←,
9,"Malceski, Nick",21y 341d,13 (12-0-1 92.31%),6 (0.46),←,
3,"McVeigh, Jarrad",21y 106d,49 (29-0-20 59.18%),25 (0.51),←,
5,"OKeefe, Ryan",25y 179d,109 (64-0-45 58.72%),118 (1.08),←,
19,"OLoughlin, Michael",29y 152d,238 (136-2-100 57.56%),399 (1.68),←,
47,"Phillips, Simon",19y 108d,2 (1-0-1 50.00%),1 (0.50),←,
25,"Richards, Ted",23y 192d,47 (27-0-20 57.45%),21 (0.45),14 (8-0-6 57.14%),2 (0.14)
30,"Roberts-Thomson, Lewis",22y 317d,64 (41-0-23 64.06%),7 (0.11),←,
13,"Schneider, Adam",22y 71d,68 (41-0-27 60.29%),66 (0.97),←,
Totals,Totals,24y 224d,2104 (1197-8-899 56.89%),1663 (0.79),,
C,"Roos, Paul",43y 25d,100 (62-0-38 62.00%),,←,
