Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",29y 346d,241 (100-1-140 41.70%),157 (0.65),←,
7,"Brown, Nathan",30y 112d,198 (84-4-110 43.43%),317 (1.60),61 (20-1-40 33.61%),111 (1.82)
9,"Cotchin, Trent",18y 55d,3 (1-0-2 33.33%),3 (1.00),←,
3,"Deledio, Brett",21y 44d,72 (27-2-43 38.89%),52 (0.72),←,
10,"Edwards, Shane",19y 220d,23 (4-2-17 21.74%),20 (0.87),←,
41,"Foley, Nathan",22y 267d,59 (18-2-39 32.20%),14 (0.24),←,
31,"Hyde, Chris",25y 297d,90 (24-1-65 27.22%),37 (0.41),←,
17,"Johnson, Kane",30y 78d,211 (88-2-121 42.18%),73 (0.35),107 (33-2-72 31.78%),29 (0.27)
46,"King, Jake",24y 67d,29 (6-2-21 24.14%),4 (0.14),←,
13,"McMahon, Jordan",25y 5d,124 (48-4-72 40.32%),39 (0.31),10 (3-1-6 35.00%),2 (0.20)
40,"Moore, Kelvin",24y 68d,34 (5-1-28 16.18%),9 (0.26),←,
1,"Newman, Chris",26y 14d,121 (37-2-82 31.40%),16 (0.13),←,
26,"Pattison, Adam",22y 88d,44 (16-2-26 38.64%),11 (0.25),←,
15,"Pettifer, Kayne",26y 131d,108 (40-1-67 37.50%),128 (1.19),←,
12,"Richardson, Matthew",33y 74d,266 (109-2-155 41.35%),770 (2.89),←,
8,"Riewoldt, Jack",19y 214d,15 (3-1-11 23.33%),12 (0.80),←,
25,"Schulz, Jay",23y 44d,58 (17-2-39 31.03%),51 (0.88),←,
5,"Simmonds, Troy",29y 324d,167 (76-1-90 45.81%),115 (0.69),63 (24-1-38 38.89%),49 (0.78)
30,"Tambling, Richard",21y 263d,63 (24-2-37 39.68%),47 (0.75),←,
2,"Thursfield, Will",22y 43d,32 (8-2-22 28.13%),,←,
21,"Tuck, Shane",26y 160d,79 (27-2-50 35.44%),38 (0.48),←,
35,"White, Matt",21y 47d,26 (8-2-16 34.62%),7 (0.27),←,
Totals,Totals,24y 251d,2063 (770-40-1253 37.32%),1920 (0.93),,
C,"Wallace, Terry",49y 171d,224 (106-4-114 48.21%),,76 (27-2-47 36.84%),
