Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Bolton, Craig",8,6,4,12,,,,3.0,4.0,1.0,,1.0,,1.0,,2,10,,,2.0,,,74.0
24,"Bolton, Jude",12,7,21,33,1.0,,,2.0,2.0,2.0,6.0,3.0,5.0,1.0,2.0,15,18,,1.0,2.0,,1.0,74.0
19,"Bradshaw, Daniel",9,7,3,12,4.0,2.0,,,,1.0,,2.0,,,,3,8,1.0,6.0,,,,84.0
37,"Goodes, Adam",16,12,2,18,2.0,1.0,,2.0,,10.0,,3.0,,1.0,,5,13,2.0,2.0,,1.0,2.0,94.0
39,"Grundy, Heath",22,10,11,33,,1.0,,,2.0,1.0,,2.0,1.0,2.0,,8,26,2.0,,1.0,,,93.0
4,"Hannebery, Dan",5,4,13,18,,,,3.0,1.0,2.0,,3.0,,2.0,,7,12,,,,,1.0,75.0
15,"Jack, Kieren",12,2,6,18,1.0,1.0,,3.0,,3.0,2.0,2.0,1.0,1.0,,9,8,,,1.0,,1.0,89.0
32,"Jetta, Lewis",11,4,4,15,,1.0,,1.0,1.0,1.0,3.0,6.0,1.0,1.0,,7,8,,,1.0,3.0,,72.0
12,"Kennedy, Josh",13,7,11,24,1.0,,,3.0,2.0,5.0,1.0,3.0,1.0,,,7,17,1.0,1.0,,,,75.0
17,"Kennelly, Tadhg",12,7,10,22,,,,1.0,4.0,1.0,,3.0,1.0,,,2,18,,,1.0,3.0,,91.0
31,"Kirk, Brett",6,5,15,21,,,,2.0,,1.0,4.0,,,,,6,15,,,,,1.0,80.0
9,"Malceski, Nick",20,9,7,27,1.0,,,3.0,10.0,1.0,,1.0,,,,2,22,,1.0,2.0,2.0,1.0,94.0
29,"Mattner, Martin",7,6,7,14,,,,6.0,4.0,,,,1.0,,,3,10,,,4.0,3.0,,89.0
21,"McGlynn, Ben",19,9,12,31,3.0,5.0,,2.0,,6.0,1.0,,3.0,,3.0,7,24,,2.0,1.0,1.0,2.0,93.0
3,"McVeigh, Jarrad",16,7,14,30,,,,1.0,3.0,4.0,6.0,5.0,1.0,1.0,,10,20,,,2.0,1.0,2.0,84.0
33,"Moore, Jarred",7,7,6,13,1.0,1.0,,3.0,1.0,3.0,2.0,,,,,3,10,,2.0,1.0,1.0,1.0,69.0
41,"Mumford, Shane",4,5,10,14,1.0,,19.0,2.0,,3.0,1.0,1.0,1.0,1.0,,5,10,,1.0,4.0,,1.0,56.0
5,"OKeefe, Ryan",13,7,8,21,1.0,1.0,,2.0,2.0,4.0,1.0,2.0,,,,7,14,1.0,3.0,3.0,1.0,,86.0
30,"Roberts-Thomson, Lewis",9,8,9,18,,1.0,,4.0,2.0,2.0,,2.0,,,1.0,4,14,1.0,,6.0,,,95.0
1,"Seaby, Mark",2,1,5,7,,,11.0,2.0,,,1.0,4.0,1.0,3.0,,3,4,,,1.0,,,67.0
2,"Shaw, Rhyce",13,7,10,23,,,,3.0,3.0,3.0,1.0,3.0,,2.0,,4,17,,,2.0,3.0,,84.0
18,"White, Jesse",6,4,4,10,,1.0,,,,,,1.0,,,,2,7,,,4.0,,,81.0
Totals,Totals,242,141,192,434,16.0,15.0,30.0,48.0,41.0,54.0,29.0,47.0,17.0,16.0,6.0,121,305,8.0,19.0,38.0,19.0,13.0,
Opposition,Opposition,164,75,127,291,7.0,14.0,30.0,50.0,35.0,54.0,33.0,39.0,16.0,16.0,,106,179,8.0,7.0,37.0,9.0,3.0,
