Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
36,"Amartey, Joel",23y 224d,17 (11-0-6 64.71%),16 (0.94),←,
22,"Blakey, Nick",23y 46d,83 (44-0-39 53.01%),34 (0.41),←,
16,"Campbell, Braeden",21y 69d,30 (19-0-11 63.33%),4 (0.13),←,
7,"Cunningham, Harry",29y 129d,166 (99-0-67 59.64%),50 (0.30),←,
13,"Florent, Oliver",24y 266d,123 (67-0-56 54.47%),39 (0.32),←,
42,"Fox, Robbie",29y 363d,69 (34-0-35 49.28%),8 (0.12),←,
17,"Gould, Will",22y 90d,1 (1-0-0 100.00%),,←,
21,"Gulden, Errol",20y 270d,48 (33-0-15 68.75%),34 (0.71),←,
9,"Hayward, Will",24y 170d,119 (66-0-53 55.46%),138 (1.16),←,
5,"Heeney, Isaac",26y 344d,159 (102-0-57 64.15%),203 (1.28),←,
19,"Ladhams, Peter",25y 90d,48 (32-0-16 66.67%),24 (0.50),16 (10-0-6 62.50%),3 (0.19)
44,"Lloyd, Jake",29y 206d,205 (127-0-78 61.95%),34 (0.17),←,
6,"McDonald, Logan",21y 10d,29 (21-0-8 72.41%),35 (1.21),←,
27,"McInerney, Justin",22y 239d,58 (35-0-23 60.34%),20 (0.34),←,
2,"McLean, Hayden",24y 84d,34 (18-0-16 52.94%),28 (0.82),←,
14,"Mills, Callum",26y 12d,140 (81-0-59 57.86%),23 (0.16),←,
11,"Papley, Tom",26y 275d,146 (86-0-60 58.90%),235 (1.61),←,
26,"Parker, Luke",30y 171d,265 (165-1-99 62.45%),191 (0.72),←,
34,"Roberts, Matt",19y 257d,5 (4-0-1 80.00%),,←,
8,"Rowbottom, James",22y 207d,74 (40-0-34 54.05%),24 (0.32),←,
3,"Stephens, Dylan",22y 96d,35 (21-0-14 60.00%),10 (0.29),←,
1,"Warner, Chad",21y 330d,44 (28-0-16 63.64%),31 (0.70),←,
37,"Warner, Corey",19y 189d,1 (1-0-0 100.00%),1 (1.00),←,
Totals,Totals,24y 100d,1899 (1135-1-763 59.77%),1182 (0.62),,
C,"Longmire, John",52y 104d,288 (180-2-106 62.85%),,←,
