Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
36,"Amartey, Joel",4,2,3,7,2,,,,,,,4.0,2.0,,,4.0,3.0,,2.0,1.0,,1.0,65.0
22,"Blakey, Nick",20,7,4,24,1,,,2.0,6.0,1.0,,3.0,,1.0,,5.0,15.0,,,4.0,,,78.0
16,"Campbell, Braeden",8,4,9,17,,,,1.0,4.0,1.0,,3.0,,2.0,,6.0,14.0,,,1.0,1.0,2.0,86.0
13,"Florent, Oliver",11,6,8,19,,,,1.0,3.0,3.0,3.0,4.0,2.0,,,4.0,15.0,,,2.0,1.0,1.0,77.0
42,"Fox, Robbie",10,6,6,16,1,1.0,,1.0,1.0,3.0,1.0,3.0,,1.0,,7.0,7.0,2.0,1.0,3.0,,1.0,85.0
4,"Grundy, Brodie",6,4,17,23,,,21.0,4.0,,3.0,3.0,3.0,2.0,,,10.0,13.0,,,3.0,,,80.0
21,"Gulden, Errol",18,1,7,25,1,1.0,,2.0,3.0,4.0,5.0,7.0,,1.0,,8.0,16.0,,,,,,87.0
9,"Hayward, Will",8,5,3,11,,1.0,,2.0,,3.0,1.0,2.0,,1.0,,2.0,8.0,,2.0,1.0,,1.0,81.0
5,"Heeney, Isaac",19,8,8,27,2,,,4.0,3.0,6.0,5.0,,2.0,,,8.0,22.0,,,2.0,,,79.0
17,"Jordon, James",8,6,10,18,,,,1.0,3.0,1.0,2.0,3.0,,2.0,,6.0,13.0,,,,,,74.0
44,"Lloyd, Jake",19,9,13,32,,,,,5.0,1.0,,1.0,,1.0,,8.0,17.0,,,2.0,,,93.0
30,"McCartin, Tom",6,1,8,14,,,,,2.0,,,5.0,,2.0,,5.0,9.0,,,8.0,,,95.0
6,"McDonald, Logan",7,3,2,9,3,,,1.0,,2.0,,1.0,1.0,,,3.0,6.0,1.0,1.0,1.0,,,87.0
27,"McInerney, Justin",10,8,11,21,,,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0,17.0,,,,1.0,,84.0
2,"McLean, Hayden",6,4,2,8,,,3.0,1.0,,2.0,,4.0,,1.0,,2.0,6.0,,,1.0,,1.0,68.0
43,"Melican, Lewis",6,2,3,9,,,,2.0,,,,1.0,2.0,,,3.0,5.0,,,7.0,,,83.0
35,"Mitchell, Caleb",7,3,3,10,,,,,1.0,2.0,1.0,2.0,,,,4.0,8.0,,,2.0,1.0,,76.0
11,"Papley, Tom",13,2,5,18,1,3.0,,1.0,,5.0,2.0,6.0,1.0,2.0,,8.0,11.0,,1.0,,1.0,,82.0
24 ↓,"Rampe, Dane",3,2,,3,,,,,2.0,,,,,,,1.0,3.0,,,4.0,1.0,,45.0
34,"Roberts, Matt",17,8,10,27,,1.0,,,4.0,5.0,1.0,3.0,1.0,1.0,,3.0,22.0,,,1.0,2.0,1.0,84.0
8,"Rowbottom, James",9,4,10,19,,,,13.0,1.0,3.0,3.0,5.0,1.0,1.0,,10.0,9.0,1.0,,,,,78.0
1,"Warner, Chad",13,3,9,22,,,,5.0,2.0,6.0,2.0,7.0,,,1.0,9.0,14.0,1.0,,1.0,2.0,1.0,88.0
37 ↑,"Warner, Corey",3,1,2,5,,1.0,,2.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,,,45.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,231,99,153,384,11,11.0,24.0,44.0,45.0,53.0,30.0,69.0,16.0,17.0,1.0,121.0,256.0,5.0,7.0,44.0,10.0,9.0,
Opposition,Opposition,242,110,126,368,11,16.0,25.0,59.0,42.0,59.0,26.0,65.0,17.0,16.0,5.0,124.0,238.0,8.0,13.0,51.0,7.0,9.0,
