West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
1,"Brown, Mitch",22y 233d,42 (14-0-28 33.33%),10 (0.24),←,
20,"Cox, Dean",30y 6d,220 (108-1-111 49.32%),113 (0.51),←,
27,"Darling, Jack",19y 55d,18 (13-0-5 72.22%),19 (1.06),←,
5,"Ebert, Brad",21y 127d,71 (24-0-47 33.80%),31 (0.44),←,
32,"Embley, Andrew",30y 41d,224 (109-1-114 48.88%),199 (0.89),←,
3,"Gaff, Andrew",19y 52d,10 (7-0-3 70.00%),6 (0.60),←,
23,"Glass, Darren",30y 85d,214 (110-2-102 51.87%),8 (0.04),←,
25,"Hurn, Shannon",23y 337d,91 (43-0-48 47.25%),25 (0.27),←,
4,"Kerr, Daniel",28y 83d,182 (96-2-84 53.30%),101 (0.55),←,
2,"LeCras, Mark",24y 342d,93 (42-0-51 45.16%),220 (2.37),←,
21,"Lynch, Quinten",28y 195d,181 (97-0-84 53.59%),238 (1.31),←,
7,"Masten, Chris",22y 97d,48 (16-0-32 33.33%),12 (0.25),←,
35,"McGinnity, Patrick",22y 170d,37 (18-0-19 48.65%),2 (0.05),←,
9,"Naitanui, Nic",21y 95d,48 (20-0-28 41.67%),23 (0.48),←,
6,"Nicoski, Mark",27y 256d,105 (53-0-52 50.48%),49 (0.47),←,
11,"Priddis, Matt",26y 139d,101 (44-0-57 43.56%),28 (0.28),←,
24,"Rosa, Matt",24y 257d,108 (53-0-55 49.07%),30 (0.28),←,
31,"Schofield, Will",22y 195d,52 (22-0-30 42.31%),4 (0.08),←,
37,"Selwood, Adam",27y 98d,151 (79-0-72 52.32%),40 (0.26),←,
10,"Selwood, Scott",21y 133d,61 (24-0-37 39.34%),11 (0.18),←,
13,"Shuey, Luke",21y 66d,24 (13-0-11 54.17%),25 (1.04),←,
28,"Smith, Ashley",21y 18d,22 (12-0-10 54.55%),6 (0.27),←,
Totals,Totals,24y 140d,2103 (1017-6-1080 48.36%),1200 (0.57),,
C,"Worsfold, John",42y 316d,228 (119-2-107 52.63%),,←,
