Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",23y 175d,82 (35-2-45 43.90%),26 (0.32),←,
20,"Black, Simon",30y 36d,239 (142-3-94 60.04%),144 (0.60),←,
36,"Bradshaw, Daniel",30y 169d,208 (117-2-89 56.73%),458 (2.20),205 (114-2-89 56.10%),458 (2.23)
17,"Brennan, Jared",24y 285d,85 (41-2-42 49.41%),59 (0.69),←,
16,"Brown, Jonathan",27y 192d,167 (106-2-59 64.07%),362 (2.17),←,
1,"Clark, Mitch",21y 202d,29 (12-1-16 43.10%),19 (0.66),←,
39,"Drummond, Josh",26y 20d,52 (24-1-27 47.12%),23 (0.44),←,
5,"Harding, Scott",22y 324d,36 (19-2-15 55.56%),11 (0.31),←,
4,"Johnstone, Travis",28y 296d,185 (91-1-93 49.46%),131 (0.71),25 (13-0-12 52.00%),20 (0.80)
26,"Macdonald, Joel",24y 211d,65 (36-0-29 55.38%),6 (0.09),←,
9,"McGrath, Ashley",25y 354d,120 (66-1-53 55.42%),101 (0.84),←,
21,"Merrett, Daniel",24y 148d,75 (32-2-41 44.00%),16 (0.21),←,
24,"Patfull, Joel",24y 153d,65 (28-2-35 44.62%),19 (0.29),←,
31,"Polkinghorne, James",20y 108d,7 (4-0-3 57.14%),,←,
6,"Power, Luke",29y 121d,224 (131-2-91 58.93%),195 (0.87),←,
2,"Proud, Albert",20y 245d,13 (5-0-8 38.46%),,←,
10,"Rich, Daniel",18y 336d,7 (4-0-3 57.14%),2 (0.29),←,
35,"Rischitelli, Michael",23y 121d,72 (32-2-38 45.83%),32 (0.44),←,
28,"Selwood, Troy",25y 8d,67 (29-1-37 44.03%),11 (0.16),←,
3,"Sheldon, Sam",20y 62d,2 (2-0-0 100.00%),,←,
11,"Sherman, Justin",22y 103d,80 (32-2-46 41.25%),51 (0.64),←,
32,"Stiller, Cheynee",23y 6d,51 (20-2-29 41.18%),12 (0.24),←,
Totals,Totals,24y 167d,1931 (1008-30-893 52.20%),1678 (0.87),,
C,"Voss, Michael",33y 306d,7 (4-0-3 57.14%),,←,
