Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
24,"Adams, Marcus",29y 31d,72 (45-0-27 62.50%),5 (0.07),45 (31-0-14 68.89%),1 (0.02)
4,"Ah Chee, Callum",24y 295d,101 (50-0-51 49.50%),39 (0.39),56 (42-0-14 75.00%),15 (0.27)
31,"Andrews, Harris",25y 232d,154 (66-0-88 42.86%),10 (0.06),←,
43,"Answerth, Noah",22y 359d,46 (33-0-13 71.74%),2 (0.04),←,
33,"Bailey, Zac",22y 311d,88 (56-0-32 63.64%),84 (0.95),←,
7,"Berry, Jarrod",24y 176d,102 (53-0-49 51.96%),46 (0.45),←,
23,"Cameron, Charlie",28y 26d,170 (107-1-62 63.24%),291 (1.71),97 (60-0-37 61.86%),204 (2.10)
12,"Cockatoo, Nakia",25y 281d,49 (29-1-19 60.20%),32 (0.65),15 (9-0-6 60.00%),7 (0.47)
18,"Coleman, Keidean",22y 122d,35 (23-0-12 65.71%),12 (0.34),←,
3,"Daniher, Joe",28y 149d,146 (65-1-80 44.86%),269 (1.84),38 (25-0-13 65.79%),78 (2.05)
32,"Fort, Darcy",28y 359d,25 (17-0-8 68.00%),14 (0.56),17 (12-0-5 70.59%),8 (0.47)
27,"Gardiner, Darcy",26y 312d,148 (68-0-80 45.95%),5 (0.03),←,
30,"Hipwood, Eric",24y 321d,121 (59-0-62 48.76%),176 (1.45),←,
17,"Lyons, Jarryd",30y 9d,178 (103-0-75 57.87%),84 (0.47),86 (59-0-27 68.60%),35 (0.41)
36,"Mathieson, Rhys",25y 202d,66 (30-0-36 45.45%),28 (0.42),←,
11,"McCarthy, Lincoln",28y 282d,113 (80-0-33 70.80%),126 (1.12),84 (57-0-27 67.86%),101 (1.20)
6,"McCluggage, Hugh",24y 150d,124 (66-0-58 53.23%),79 (0.64),←,
46,"McInerney, Oscar",28y 21d,96 (59-0-37 61.46%),45 (0.47),←,
25,"McStay, Daniel",27y 37d,155 (74-0-81 47.74%),129 (0.83),←,
9,"Neale, Lachie",29y 68d,214 (117-0-97 54.67%),111 (0.52),79 (52-0-27 65.82%),44 (0.56)
16,"Rayner, Cam",22y 283d,82 (47-0-35 57.32%),76 (0.93),←,
5,"Robinson, Mitch",33y 54d,244 (115-1-128 47.34%),127 (0.52),144 (64-0-80 44.44%),69 (0.48)
15,"Zorko, Dayne",33y 172d,224 (97-0-127 43.30%),215 (0.96),←,
Totals,Totals,26y 312d,2753 (1459-4-1290 53.00%),2005 (0.73),,
C,"Fagan, Chris",61y 38d,130 (69-0-61 53.08%),,←,
