Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Baker, Liam",11,4,10,21,,1.0,,,1.0,3.0,,3.0,,2.0,,5.0,15.0,,,1.0,3.0,,89.0
21,"Balta, Noah",8,4,2,10,,,,1.0,2.0,,,3.0,1.0,2.0,,5.0,5.0,1.0,,3.0,,,80.0
29,"Bolton, Shai",14,2,5,19,1,2.0,,1.0,1.0,5.0,3.0,,1.0,,,7.0,13.0,,1.0,2.0,3.0,,92.0
35,"Broad, Nathan",10,4,10,20,,,,1.0,2.0,3.0,,1.0,1.0,,,4.0,14.0,,,8.0,,1.0,79.0
42 ↑,"Clarke, Judson",3,2,2,5,,,,1.0,1.0,1.0,,1.0,,,,2.0,3.0,,,,,,31.0
9,"Cotchin, Trent",6,4,5,11,,,,3.0,,1.0,3.0,4.0,,,,3.0,8.0,,,2.0,,,76.0
38,"Cumberland, Noah",4,2,2,6,,2.0,,2.0,,1.0,,4.0,2.0,2.0,,4.0,2.0,,2.0,,,,74.0
2,"Grimes, Dylan",6,2,1,7,,,,2.0,3.0,1.0,,2.0,2.0,1.0,,3.0,4.0,,,3.0,,1.0,81.0
22,"Hopper, Jacob",7,2,14,21,,,,4.0,1.0,5.0,6.0,5.0,2.0,4.0,,9.0,13.0,,,1.0,,1.0,72.0
4,"Martin, Dustin",12,4,7,19,,,,2.0,,7.0,6.0,2.0,1.0,,,10.0,8.0,2.0,,1.0,,,90.0
33,"McIntosh, Kamdyn",11,7,5,16,,,,4.0,2.0,1.0,2.0,1.0,1.0,,,7.0,10.0,1.0,,4.0,,,90.0
46,"Miller, Ben",,1,2,2,,,3.0,4.0,,1.0,,,,,,1.0,1.0,,,3.0,,,72.0
50,"Pickett, Marlion",10,5,8,18,,1.0,,6.0,1.0,5.0,2.0,5.0,2.0,,,9.0,10.0,,1.0,1.0,,,82.0
8,"Riewoldt, Jack",3,3,1,4,1,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,3.0,,2.0,1.0,,,88.0
17,"Rioli, Daniel",12,6,9,21,,,,,5.0,2.0,,1.0,,,,4.0,16.0,1.0,,4.0,4.0,,81.0
5,"Ross, Jack",7,4,10,17,,,,3.0,1.0,2.0,4.0,1.0,1.0,,,8.0,12.0,,,1.0,,1.0,76.0
32,"Ryan, Samson",7,5,4,11,2,,12.0,2.0,,1.0,1.0,3.0,,1.0,,4.0,7.0,,2.0,1.0,,,90.0
15,"Short, Jayden",25,11,7,32,,,,1.0,7.0,5.0,5.0,5.0,,1.0,,5.0,23.0,1.0,,,1.0,,83.0
20,"Soldo, Ivan",7,5,4,11,1,1.0,14.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,8.0,4.0,1.0,2.0,1.0,,,57.0
40 ↓,"Sonsie, Tyler",2,,2,4,,,,,,1.0,,3.0,,,,1.0,3.0,,,,,,47.0
14,"Taranto, Tim",16,9,16,32,1,1.0,,3.0,4.0,4.0,8.0,1.0,,,1.0,13.0,19.0,,1.0,1.0,1.0,,88.0
1,"Vlastuin, Nick",12,6,6,18,,,,1.0,6.0,,2.0,3.0,,,,9.0,11.0,2.0,,3.0,,,86.0
45,"Young, Tylar",7,4,7,14,,,,1.0,2.0,1.0,,6.0,,3.0,,8.0,6.0,,,8.0,,,97.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,96,139,339,6,12.0,29.0,46.0,41.0,53.0,43.0,57.0,16.0,18.0,1.0,130.0,210.0,9.0,11.0,49.0,12.0,4.0,
Opposition,Opposition,254,135,126,380,11,6.0,42.0,64.0,46.0,53.0,40.0,58.0,18.0,16.0,5.0,120.0,252.0,7.0,9.0,38.0,9.0,5.0,
