West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Allen, Oscar",5,2,2,7,2,,,1.0,,4.0,1.0,2.0,3.0,,,6.0,1.0,2.0,1.0,2.0,,,95.0
30 ↑,"Barnett, Harry",,,2,2,,,1.0,1.0,,,,,,,,,2.0,,,,,,9.0
37,"Barrass, Tom",15,14,5,20,,,,1.0,3.0,,,5.0,1.0,3.0,,7.0,14.0,3.0,,10.0,,,100.0
33,"Bazzo, Rhett",9,4,3,12,,,,2.0,3.0,2.0,,2.0,,2.0,,1.0,10.0,,,2.0,1.0,,79.0
18,"Chesser, Campbell",8,5,5,13,,,,3.0,,1.0,,1.0,,,,4.0,10.0,,,2.0,,,87.0
15,"Cripps, Jamie",5,4,5,10,1,1.0,,14.0,,1.0,1.0,4.0,,,,5.0,5.0,,2.0,,,1.0,81.0
27 ↓,"Darling, Jack",5,2,1,6,1,1.0,2.0,2.0,,1.0,2.0,,1.0,,,2.0,3.0,,1.0,1.0,,,86.0
14,"Duggan, Liam",19,8,8,27,,,,4.0,6.0,1.0,,,,,,6.0,18.0,1.0,,1.0,,,86.0
3,"Gaff, Andrew",6,5,15,21,,,,5.0,,1.0,1.0,1.0,,,,6.0,15.0,,,,,1.0,87.0
7,"Ginbey, Reuben",4,3,9,13,,,,4.0,,3.0,2.0,1.0,1.0,1.0,,6.0,7.0,,,,,2.0,78.0
8,"Hewett, Elijah",6,4,5,11,2,,,4.0,1.0,1.0,4.0,2.0,,1.0,,5.0,6.0,,1.0,3.0,,,76.0
19,"Hough, Brady",8,6,1,9,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,8.0,,,1.0,,,83.0
5,"Hunt, Jayden",15,7,4,19,,,,1.0,4.0,2.0,1.0,1.0,,,,3.0,16.0,,,1.0,,,87.0
25,"Hurn, Shannon",22,13,8,30,,,,3.0,6.0,4.0,1.0,1.0,,,,3.0,22.0,,,,,,80.0
44,"Long, Noah",11,5,4,15,1,,,2.0,,2.0,,1.0,1.0,,,4.0,11.0,,,1.0,,1.0,73.0
41,"Maric, Ryan",4,4,9,13,2,,,4.0,,2.0,1.0,,1.0,,,6.0,7.0,2.0,1.0,,,,81.0
24,"ONeill, Xavier",4,3,4,8,,,,2.0,,2.0,,,,,,3.0,5.0,1.0,,,,,83.0
21,"Petruccelle, Jack",9,2,7,16,1,1.0,,8.0,2.0,1.0,5.0,2.0,,1.0,,10.0,5.0,,,1.0,,,64.0
4,"Sheed, Dom",11,4,14,25,,,,9.0,3.0,1.0,5.0,10.0,1.0,1.0,,10.0,17.0,,,,,,81.0
13,"Shuey, Luke",17,2,11,28,,,,9.0,1.0,4.0,8.0,4.0,3.0,3.0,2.0,11.0,18.0,,,1.0,2.0,2.0,74.0
32,"Williams, Bailey",7,5,7,14,1,,39.0,7.0,1.0,2.0,3.0,5.0,1.0,1.0,,8.0,5.0,1.0,1.0,1.0,1.0,,76.0
34,"Williams, Jack",5,3,3,8,1,1.0,4.0,2.0,,1.0,1.0,1.0,,,,4.0,4.0,1.0,2.0,2.0,,1.0,68.0
23,"Witherden, Alex",23,12,6,29,,,,3.0,6.0,2.0,1.0,3.0,2.0,,,4.0,21.0,,,4.0,1.0,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,117,138,356,12,5.0,46.0,92.0,37.0,39.0,37.0,47.0,16.0,14.0,2.0,115.0,230.0,11.0,9.0,33.0,5.0,8.0,
Opposition,Opposition,212,87,159,371,12,13.0,44.0,72.0,26.0,50.0,43.0,47.0,14.0,16.0,4.0,150.0,221.0,13.0,8.0,34.0,3.0,4.0,
