St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Armitage, David",10,3,8,18,,,,7.0,1.0,1.0,5.0,2.0,2.0,1.0,,11.0,7.0,,,,1.0,1.0,74.0
10,"Baker, Steven",10,2,6,16,,,,3.0,1.0,2.0,,3.0,,1.0,,4.0,13.0,,,4.0,,,86.0
26,"Dal Santo, Nick",9,,8,17,1,,,4.0,3.0,4.0,1.0,1.0,1.0,,,10.0,8.0,,,3.0,,1.0,89.0
6,"Dawson, Zac",4,5,13,17,,,,2.0,1.0,,,3.0,,2.0,,7.0,12.0,,,11.0,,,100.0
24,"Dempster, Sean",3,2,7,10,,,,3.0,2.0,,,,1.0,,,6.0,4.0,1.0,,8.0,,,85.0
25,"Fisher, Sam",14,7,14,28,,,1.0,3.0,5.0,1.0,,3.0,,,,7.0,21.0,,,8.0,,1.0,90.0
19,"Gilbert, Sam",9,5,6,15,,,,5.0,4.0,1.0,1.0,7.0,1.0,4.0,,12.0,6.0,1.0,,8.0,2.0,,96.0
18,"Goddard, Brendon",12,3,14,26,1,1.0,1.0,8.0,5.0,1.0,2.0,3.0,,,,10.0,13.0,,,4.0,,,85.0
1,"Gram, Jason",13,2,10,23,2,3.0,,1.0,4.0,4.0,2.0,4.0,,,,8.0,16.0,,,4.0,1.0,,79.0
33,"Gwilt, James",13,5,4,17,,,,,5.0,,,1.0,,1.0,,1.0,13.0,,,8.0,,,96.0
4,"Jones, Clinton",11,2,12,23,,,,10.0,,2.0,5.0,2.0,2.0,2.0,,11.0,10.0,,,,1.0,1.0,90.0
23,"Koschitzke, Justin",,,5,5,,,7.0,1.0,,,2.0,2.0,,2.0,,2.0,3.0,,,2.0,,,76.0
5,"McEvoy, Ben",4,4,12,16,,,16.0,3.0,,1.0,2.0,,1.0,,,7.0,9.0,1.0,1.0,5.0,,1.0,85.0
32 ↑,"McQualter, Andrew",4,2,2,6,,,,1.0,,3.0,3.0,,,,,3.0,4.0,,,2.0,,1.0,34.0
44,"Milne, Stephen",11,3,2,13,2,1.0,,2.0,3.0,4.0,2.0,1.0,1.0,1.0,,7.0,6.0,,,,2.0,1.0,91.0
11,"Montagna, Leigh",22,8,11,33,,2.0,,4.0,3.0,4.0,10.0,4.0,2.0,2.0,2.0,15.0,21.0,,1.0,2.0,2.0,,86.0
22,"Ray, Farren",14,7,3,17,1,,2.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,,10.0,7.0,4.0,,2.0,1.0,,81.0
12,"Riewoldt, Nick",12,6,6,18,1,2.0,1.0,1.0,,7.0,1.0,2.0,1.0,,,6.0,11.0,1.0,,2.0,,1.0,98.0
13,"Schneider, Adam",19,5,6,25,3,,,5.0,2.0,1.0,2.0,4.0,1.0,2.0,,9.0,17.0,,,3.0,,,84.0
39,"Smith, Alistair",9,2,3,12,,,,3.0,,5.0,2.0,4.0,1.0,1.0,,7.0,5.0,,,,,,68.0
28 ↓,"Stanley, Rhys",1,1,1,2,,,,,,1.0,,,,,,1.0,1.0,,,2.0,,,49.0
3,"Steven, Jack",10,5,3,13,2,1.0,,5.0,,4.0,,2.0,1.0,1.0,,4.0,8.0,,2.0,2.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,214,79,156,370,13,11.0,28.0,75.0,40.0,50.0,41.0,51.0,17.0,21.0,2.0,158.0,215.0,8.0,4.0,80.0,10.0,8.0,
Opposition,Opposition,196,63,163,359,11,10.0,53.0,87.0,31.0,54.0,45.0,44.0,21.0,17.0,4.0,163.0,195.0,12.0,8.0,53.0,5.0,3.0,
