St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
26,"Battle, Josh",24y 317d,93 (45-0-48 48.39%),27 (0.29),←,
16,"Butler, Dan",27y 42d,122 (69-0-53 56.56%),143 (1.17),77 (38-0-39 49.35%),90 (1.17)
13,"Byrnes, Ryan",22y 73d,45 (25-0-20 55.56%),11 (0.24),←,
47,"Caminiti, Anthony",19y 218d,14 (7-0-7 50.00%),16 (1.14),←,
11,"Clark, Hunter",24y 111d,80 (34-1-45 43.13%),11 (0.14),←,
5,"Crouch, Brad",29y 182d,153 (77-0-76 50.33%),51 (0.33),58 (29-0-29 50.00%),17 (0.29)
4,"Gresham, Jade",25y 325d,129 (60-1-68 46.90%),131 (1.02),←,
8,"Hill, Bradley",30y 6d,227 (135-0-92 59.47%),94 (0.41),78 (41-0-37 52.56%),15 (0.19)
20,"Howard, Dougal",27y 112d,119 (60-0-59 50.42%),15 (0.13),74 (37-0-37 50.00%),1 (0.01)
3,"Jones, Zak",28y 122d,134 (68-0-66 50.75%),34 (0.25),44 (19-0-25 43.18%),11 (0.25)
19,"Marshall, Rowan",27y 233d,103 (48-0-55 46.60%),47 (0.46),←,
10,"Owens, Mitch",19y 294d,23 (11-0-12 47.83%),24 (1.04),←,
45,"Peris, Jack",19y 210d,1 (0-0-1 0.00%),,←,
25,"Phillipou, Mattaes",18y 200d,17 (9-0-8 52.94%),9 (0.53),←,
43,"Sharman, Cooper",22y 355d,24 (11-0-13 45.83%),20 (0.83),←,
35,"Sinclair, Jack",28y 153d,158 (69-1-88 43.99%),52 (0.33),←,
9,"Steele, Jack",27y 214d,151 (66-1-84 44.04%),57 (0.38),134 (58-1-75 43.66%),48 (0.36)
14,"Stocker, Liam",23y 173d,45 (17-0-28 37.78%),2 (0.04),17 (9-0-8 52.94%),
7,"Wanganeen-Milera, Nasiah",20y 143d,34 (17-0-17 50.00%),3 (0.09),←,
29,"Webster, Jimmy",30y 17d,143 (56-1-86 39.51%),4 (0.03),←,
44,"Wilkie, Callum",27y 127d,102 (50-0-52 49.02%),1 (0.01),←,
17,"Windhager, Marcus",20y 60d,30 (15-0-15 50.00%),6 (0.20),←,
32,"Wood, Mason",29y 305d,110 (56-0-54 50.91%),109 (0.99),45 (26-0-19 57.78%),33 (0.73)
Totals,Totals,24y 364d,2057 (1005-5-1047 48.86%),867 (0.42),,
C,"Lyon, Ross",56y 249d,322 (181-5-136 56.99%),,138 (85-4-49 63.04%),
