Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
30,"Bayes, Mark",25y 14d,135 (66-1-68 49.26%),112 (0.83),←,
13,"Brunton, Neil",23y 86d,4 (2-0-2 50.00%),,←,
29,"Cordy, Neil",32y 356d,228 (90-1-137 39.69%),32 (0.14),89 (39-1-49 44.38%),4 (0.04)
4,"Doolan, Ben",19y 79d,14 (6-1-7 46.43%),4 (0.29),←,
47,"Higgins, Leon",23y 276d,76 (29-1-46 38.82%),60 (0.79),←,
31,"Holmes, Darren",21y 208d,8 (3-1-4 43.75%),1 (0.13),←,
11,"Kappler, Darren",27y 66d,88 (31-0-57 35.23%),51 (0.58),1 (1-0-0 100.00%),
14,"Kelly, Paul",22y 245d,31 (9-1-21 30.65%),16 (0.52),←,
1,"Lawson, Jamie",20y 176d,17 (7-1-9 44.12%),9 (0.53),←,
3,"Lewis, Dale",22y 330d,25 (8-1-16 34.00%),30 (1.20),←,
32,"Love, Jason",26y 117d,67 (28-3-36 44.03%),122 (1.82),22 (8-1-13 38.64%),53 (2.41)
16,"McGovern, Andrew",23y 357d,1 (1-0-0 100.00%),2 (2.00),←,
45,"McKenzie, Warren",27y 242d,85 (47-2-36 56.47%),56 (0.66),18 (6-1-11 36.11%),13 (0.72)
8,"Minton-Connell, Simon",22y 338d,20 (10-0-10 50.00%),51 (2.55),1 (1-0-0 100.00%),1 (1.00)
10,"Mitchell, Barry",26y 113d,149 (68-1-80 45.97%),197 (1.32),←,
35,"Murphy, David",29y 219d,134 (60-0-74 44.78%),86 (0.64),←,
18,"Nettelbeck, Craig",19y 308d,21 (7-1-13 35.71%),13 (0.62),←,
15,"Strooper, David",24y 33d,44 (15-0-29 34.09%),32 (0.73),1 (1-0-0 100.00%),4 (4.00)
12,"Thripp, Terry",28y 150d,70 (32-0-38 45.71%),41 (0.59),←,
2,"Tunbridge, Brad",28y 63d,25 (8-1-16 34.00%),8 (0.32),←,
Totals,Totals,24y 298d,1242 (527-16-699 42.43%),923 (0.74),,
C,"Buckenara, Gary",33y 270d,1 (1-0-0 100.00%),,←,
