Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
31,"Andrews, Harris",19y 142d,25 (5-0-20 20.00%),4 (0.16),←,
4,"Bastinac, Ryan",24y 314d,127 (68-0-59 53.54%),69 (0.54),6 (1-0-5 16.67%),3 (0.50)
17,"Beams, Claye",24y 243d,42 (12-0-30 28.57%),22 (0.52),←,
7,"Bell, Tom",24y 323d,57 (19-1-37 34.21%),41 (0.72),6 (1-0-5 16.67%),5 (0.83)
8,"Bewick, Rohan",26y 204d,84 (28-0-56 33.33%),59 (0.70),←,
3,"Christensen, Allen",24y 348d,93 (54-0-39 58.06%),82 (0.88),28 (5-0-23 17.86%),26 (0.93)
24,"Dawson, Liam",20y 99d,13 (3-0-10 23.08%),1 (0.08),←,
27,"Gardiner, Darcy",20y 222d,31 (9-0-22 29.03%),3 (0.10),←,
11,"Hanley, Pearce",27y 168d,113 (36-0-77 31.86%),50 (0.44),←,
2,"Harwood, Ryan",24y 268d,65 (24-0-41 36.92%),6 (0.09),←,
1,"Keays, Ben",19y 68d,1 (0-0-1 0.00%),1 (1.00),←,
35,"Lester, Ryan",23y 249d,67 (24-0-43 35.82%),25 (0.37),←,
12,"Martin, Stefan",29y 166d,100 (25-1-74 25.50%),35 (0.35),43 (11-0-32 25.58%),12 (0.28)
32,"Mayes, Sam",21y 347d,58 (20-0-38 34.48%),25 (0.43),←,
25,"McStay, Daniel",20y 312d,33 (8-0-25 24.24%),28 (0.85),←,
21,"Merrett, Daniel",31y 141d,186 (77-3-106 42.20%),69 (0.37),←,
10,"Rich, Daniel",25y 329d,127 (45-1-81 35.83%),81 (0.64),←,
5,"Robinson, Mitch",26y 329d,126 (56-1-69 44.84%),68 (0.54),26 (5-0-21 19.23%),10 (0.38)
38,"Rockliff, Tom",26y 69d,121 (39-0-82 32.23%),60 (0.50),←,
28,"Taylor, Lewis",21y 74d,50 (12-0-38 24.00%),36 (0.72),←,
14,"Walker, Josh",23y 171d,39 (20-1-18 52.56%),40 (1.03),6 (1-0-5 16.67%),5 (0.83)
15,"Zorko, Dayne",27y 82d,86 (30-0-56 34.88%),84 (0.98),←,
Totals,Totals,24y 129d,1644 (614-8-1022 37.35%),889 (0.54),,
C,"Leppitsch, Justin",40y 213d,50 (12-0-38 24.00%),,←,
