Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ablett, Gary",23,2,19,42,1,1.0,,9.0,2.0,6.0,7.0,7.0,5.0,3.0,1.0,15.0,28.0,1.0,2.0,,1.0,3.0,95.0
11,"Bennell, Harley",13,4,15,28,,1.0,,2.0,2.0,4.0,2.0,4.0,,,,8.0,20.0,,,,3.0,1.0,84.0
3,"Brennan, Jared",9,3,12,21,,,3.0,7.0,1.0,3.0,3.0,1.0,3.0,,,14.0,6.0,2.0,,2.0,,,88.0
30,"Brown, Campbell",8,3,1,9,1,1.0,,1.0,,4.0,2.0,2.0,2.0,1.0,,5.0,5.0,,,4.0,,1.0,84.0
28,"Caddy, Josh",9,7,7,16,,,2.0,6.0,2.0,2.0,2.0,2.0,,1.0,,6.0,11.0,,,1.0,2.0,,67.0
23,"Dixon, Charlie",7,5,5,12,,1.0,11.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,6.0,5.0,2.0,1.0,,,,87.0
5,"Harbrow, Jarrod",12,3,13,25,,,,6.0,2.0,2.0,2.0,3.0,2.0,2.0,,11.0,14.0,,,2.0,1.0,,96.0
29,"Hine, Taylor",10,1,16,26,,,,1.0,1.0,2.0,2.0,5.0,1.0,,,12.0,14.0,1.0,,2.0,,,85.0
7,"Hunt, Karmichael",3,2,11,14,,,3.0,6.0,2.0,,,5.0,1.0,3.0,,4.0,10.0,,,2.0,1.0,,68.0
19,"Lynch, Tom",9,6,8,17,1,,1.0,1.0,1.0,,,3.0,1.0,1.0,,4.0,11.0,3.0,,2.0,,,94.0
32,"Matera, Brandon",14,3,4,18,3,1.0,,1.0,1.0,1.0,3.0,4.0,1.0,2.0,,9.0,9.0,,2.0,,2.0,,83.0
45,"May, Steven",9,5,3,12,,,,1.0,2.0,,,2.0,,1.0,,2.0,10.0,,,7.0,,,97.0
18,"McKenzie, Trent",13,6,12,25,,,,1.0,3.0,2.0,4.0,2.0,,,,9.0,15.0,,,3.0,2.0,,94.0
43 ↑,"Patrick, Liam",4,3,3,7,,,,1.0,1.0,1.0,,1.0,,1.0,,,8.0,,,1.0,5.0,1.0,42.0
41,"Prestia, Dion",8,,16,24,,,,2.0,1.0,1.0,6.0,6.0,1.0,1.0,,11.0,13.0,,,1.0,,,67.0
8,"Russell, Luke",9,4,10,19,,,,3.0,2.0,2.0,,2.0,1.0,,,4.0,15.0,,1.0,2.0,,,79.0
26,"Shaw, Matt",6,2,5,11,,,,1.0,2.0,2.0,,,2.0,,,3.0,7.0,,,,1.0,,79.0
2,"Smith, Zac",2,2,10,12,2,,15.0,1.0,1.0,,3.0,1.0,3.0,1.0,,7.0,5.0,1.0,1.0,2.0,,,89.0
25,"Stanley, Danny",6,3,15,21,,,,3.0,,1.0,2.0,1.0,,1.0,,8.0,13.0,,,,,,91.0
24 ↓,"Swallow, David",1,,4,5,,,,2.0,,1.0,,,,,,2.0,3.0,,,,,1.0,41.0
14,"Warnock, Matthew",12,8,5,17,,,,,5.0,,,,1.0,,,3.0,15.0,,,15.0,,,97.0
4,"Weller, Maverick",5,2,12,17,,,,4.0,1.0,1.0,1.0,,,,,5.0,12.0,1.0,,1.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,74,206,398,8,6.0,35.0,61.0,33.0,37.0,40.0,53.0,25.0,20.0,1.0,148.0,249.0,11.0,7.0,47.0,18.0,7.0,
Opposition,Opposition,215,82,168,383,19,12.0,49.0,73.0,29.0,55.0,44.0,40.0,20.0,24.0,5.0,151.0,228.0,8.0,13.0,56.0,12.0,12.0,
