Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bennell, Harley",20,1,3,23,1,2.0,,3.0,3.0,6.0,2.0,6.0,,1.0,,7.0,15.0,,,1.0,,,67.0
36,"Broughton, Greg",6,4,8,14,,,,3.0,,2.0,,2.0,,1.0,,3.0,10.0,,,1.0,,,94.0
23,"Dixon, Charlie",3,3,5,8,1,1.0,1.0,2.0,,,,1.0,,,,3.0,4.0,,2.0,2.0,,1.0,89.0
33 ↑,"Hall, Aaron",3,2,,3,,,,3.0,,1.0,,4.0,,1.0,,,3.0,,,,,,26.0
14,"Hallahan, Mitch",12,3,12,24,,,,11.0,2.0,1.0,15.0,9.0,,2.0,,22.0,3.0,,,3.0,,,80.0
5,"Harbrow, Jarrod",9,4,3,12,,,,6.0,3.0,1.0,5.0,3.0,,1.0,,5.0,6.0,,,3.0,,,88.0
28,"Kolodjashnij, Kade",19,3,5,24,,,,5.0,8.0,,1.0,6.0,,,,9.0,10.0,,,5.0,1.0,,93.0
40 ↓,"Lemmens, Sean",4,2,3,7,,,,2.0,1.0,1.0,,2.0,,1.0,,2.0,6.0,,,,,,65.0
21,"Leslie, Jack",5,3,6,11,,,,1.0,3.0,,,1.0,,1.0,,4.0,8.0,,,11.0,,,96.0
37,"Lonergan, Jesse",5,2,5,10,,,,6.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,6.0,,,3.0,,,89.0
32,"Matera, Brandon",5,1,,5,2,,,3.0,,,,2.0,,2.0,,1.0,3.0,,,3.0,,,86.0
18,"McKenzie, Trent",11,2,,11,,,,3.0,4.0,,1.0,3.0,,,,3.0,5.0,,,6.0,,,80.0
44,"Miller, Touk",9,1,12,21,,,,8.0,1.0,,3.0,3.0,,1.0,,11.0,11.0,,,4.0,1.0,,91.0
22,"Nicholls, Tom",4,,8,12,,,31.0,11.0,1.0,,2.0,2.0,2.0,1.0,,11.0,3.0,,,1.0,,1.0,80.0
10,"Prestia, Dion",12,1,15,27,1,,,9.0,3.0,3.0,11.0,3.0,,1.0,,16.0,10.0,,,1.0,1.0,,80.0
29,"Raines, Andrew",7,1,9,16,,,,2.0,3.0,2.0,1.0,4.0,2.0,1.0,,10.0,7.0,1.0,,1.0,,,88.0
35,"Rischitelli, Michael",14,1,12,26,1,,1.0,12.0,3.0,1.0,7.0,2.0,1.0,1.0,,12.0,15.0,,,2.0,,,82.0
20,"Schade, Henry",8,5,7,15,,,,2.0,2.0,,1.0,1.0,,1.0,,6.0,9.0,,,4.0,,,99.0
6,"Sexton, Alex",10,2,2,12,,,1.0,4.0,,4.0,1.0,1.0,,,,4.0,7.0,,,2.0,,1.0,89.0
26,"Shaw, Matt",4,3,10,14,,,,1.0,1.0,,,4.0,,1.0,,4.0,10.0,,,2.0,,,93.0
2,"Smith, Zac",,,2,2,,,11.0,2.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,6.0,,,63.0
25,"Stanley, Danny",7,1,5,12,,,,6.0,2.0,1.0,2.0,1.0,,,,5.0,7.0,,,,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,45,132,309,6,7.0,45.0,105.0,42.0,24.0,54.0,62.0,8.0,19.0,,143.0,159.0,1.0,2.0,61.0,3.0,3.0,
Opposition,Opposition,248,118,200,448,21,9.0,55.0,80.0,15.0,67.0,33.0,33.0,19.0,8.0,6.0,151.0,288.0,12.0,14.0,36.0,2.0,14.0,
