West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Allen, Oscar",8,5,7,15,2,,,3.0,,,,1.0,1.0,,,6.0,9.0,1.0,2.0,,,1.0,82.0
28,"Cole, Tom",7,3,7,14,,,,5.0,1.0,2.0,,5.0,,1.0,,2.0,12.0,,,3.0,,,84.0
15,"Cripps, Jamie",13,4,10,23,1,,,2.0,,2.0,1.0,6.0,,,,7.0,17.0,,,1.0,,,91.0
27,"Darling, Jack",14,9,8,22,1,1.0,,7.0,,5.0,,1.0,1.0,,,8.0,13.0,2.0,2.0,,,,95.0
43,"Dewar, Tyrell",5,4,4,9,2,,,2.0,,1.0,1.0,2.0,,1.0,,3.0,6.0,1.0,2.0,,,,74.0
14,"Duggan, Liam",16,5,6,22,1,,,8.0,1.0,5.0,5.0,4.0,1.0,,,7.0,14.0,,1.0,,3.0,,83.0
42 ↓,"Edwards, Harry",1,1,,1,,,,,,2.0,,,,,,,1.0,,,3.0,,,25.0
7,"Ginbey, Reuben",12,5,10,22,,,,1.0,5.0,,1.0,3.0,1.0,,,7.0,14.0,,,4.0,4.0,,93.0
29 ↑,"Hall, Clay",3,1,2,5,,,,1.0,1.0,,2.0,1.0,,1.0,,4.0,1.0,,,1.0,,,46.0
19,"Hough, Brady",8,6,11,19,,,,2.0,5.0,,,,1.0,,,5.0,14.0,,,,,1.0,89.0
5,"Hunt, Jayden",9,3,4,13,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,3.0,9.0,,,,,1.0,83.0
24,"Johnston, Harvey",7,3,6,13,,,,,,2.0,1.0,1.0,,,,3.0,10.0,,,,,,84.0
11,"Kelly, Tim",13,3,18,31,,,,1.0,1.0,3.0,8.0,4.0,1.0,1.0,,14.0,17.0,,,1.0,,,83.0
41,"Maric, Ryan",8,3,4,12,1,,,2.0,1.0,3.0,1.0,3.0,2.0,1.0,,6.0,7.0,1.0,1.0,1.0,,1.0,81.0
20,"McGovern, Jeremy",15,4,6,21,,,,1.0,9.0,2.0,,4.0,1.0,1.0,,9.0,8.0,2.0,,9.0,1.0,,92.0
9,"Reid, Harley",3,1,14,17,,,,6.0,1.0,1.0,4.0,8.0,,7.0,,11.0,10.0,,,,1.0,,82.0
1,"Ryan, Liam",9,4,4,13,1,,,1.0,1.0,3.0,,3.0,1.0,,,3.0,11.0,,,1.0,,2.0,79.0
26,"Trew, Zane",4,1,3,7,1,,,5.0,,2.0,2.0,1.0,,,,5.0,2.0,,,1.0,,1.0,61.0
2,"Waterman, Jake",9,6,5,14,4,,,1.0,,1.0,,6.0,,2.0,1.0,3.0,10.0,2.0,4.0,,,1.0,93.0
32,"Williams, Bailey",7,2,7,14,,,19.0,6.0,3.0,,4.0,5.0,1.0,1.0,,8.0,6.0,1.0,,4.0,,,74.0
34,"Williams, Jack",8,3,9,17,1,,10.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,,11.0,5.0,1.0,,3.0,,1.0,75.0
23,"Witherden, Alex",12,5,11,23,,,,4.0,7.0,1.0,1.0,5.0,1.0,1.0,,5.0,17.0,,,2.0,,,77.0
6,"Yeo, Elliot",19,2,7,26,,,,6.0,,7.0,5.0,3.0,3.0,2.0,2.0,10.0,18.0,,,,,1.0,74.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,83,163,373,15,7.0,29.0,66.0,39.0,46.0,41.0,73.0,18.0,21.0,3.0,140.0,231.0,11.0,12.0,34.0,9.0,10.0,
Opposition,Opposition,178,63,143,321,13,9.0,59.0,56.0,31.0,52.0,36.0,60.0,21.0,18.0,3.0,122.0,187.0,7.0,12.0,51.0,7.0,10.0,
