West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Bennell, Jamie",8,6,8,16,,,,2.0,1.0,,,2.0,,,,4.0,11.0,,,2.0,,,85.0
1,"Brown, Mitch",10,6,6,16,,,,5.0,4.0,2.0,2.0,3.0,,,,7.0,9.0,1.0,,1.0,,,90.0
20,"Cox, Dean",11,7,7,18,2,,30.0,3.0,,2.0,4.0,,,,,7.0,11.0,2.0,2.0,,,,79.0
15,"Cripps, Jamie",7,2,4,11,2,1.0,,1.0,,3.0,,3.0,1.0,,,4.0,7.0,,1.0,,2.0,2.0,83.0
27,"Darling, Jack",10,5,6,16,3,1.0,,4.0,,2.0,2.0,3.0,1.0,1.0,,9.0,7.0,1.0,2.0,1.0,2.0,,93.0
18 ↑,"Ellis, Xavier",4,2,3,7,,1.0,,1.0,,1.0,2.0,,,,,2.0,5.0,,,,,,27.0
3 ↓,"Gaff, Andrew",11,5,4,15,1,,,,2.0,2.0,,1.0,,,,2.0,12.0,,1.0,,,1.0,60.0
23,"Glass, Darren",8,5,3,11,,,,,,2.0,,,,,,3.0,8.0,1.0,,4.0,,1.0,90.0
25,"Hurn, Shannon",20,12,7,27,,,,3.0,,8.0,1.0,2.0,,,,4.0,23.0,,,1.0,,1.0,87.0
34,"Hutchings, Mark",6,1,7,13,2,,,6.0,,1.0,1.0,,1.0,,,3.0,10.0,,1.0,,,,76.0
17,"Kennedy, Josh",14,11,3,17,11,,,3.0,,2.0,,,1.0,,3.0,3.0,14.0,,8.0,2.0,,1.0,95.0
2,"LeCras, Mark",11,7,11,22,4,1.0,,3.0,,5.0,2.0,4.0,1.0,2.0,,12.0,10.0,1.0,4.0,2.0,,4.0,85.0
16,"Mackenzie, Eric",8,8,2,10,,,,,1.0,,,,1.0,,,2.0,8.0,,,6.0,,,97.0
7,"Masten, Chris",18,6,8,26,,1.0,,1.0,1.0,10.0,1.0,,,,,6.0,20.0,,1.0,,,1.0,84.0
9,"Naitanui, Nic",3,,9,12,1,,20.0,4.0,,2.0,3.0,2.0,1.0,,,6.0,5.0,,,1.0,,,74.0
11,"Priddis, Matt",6,1,20,26,1,,1.0,7.0,,1.0,13.0,1.0,5.0,1.0,2.0,19.0,8.0,,,,,,87.0
24,"Rosa, Matt",15,11,10,25,,,,1.0,,2.0,,2.0,,1.0,,5.0,20.0,,,1.0,,,92.0
10,"Selwood, Scott",15,7,9,24,1,,,10.0,1.0,8.0,1.0,2.0,2.0,1.0,,8.0,15.0,,,2.0,3.0,1.0,88.0
5,"Sheppard, Brad",13,8,5,18,,,,3.0,,3.0,,1.0,,,,2.0,17.0,1.0,,4.0,1.0,1.0,82.0
13,"Shuey, Luke",14,5,9,23,1,,,1.0,1.0,7.0,4.0,4.0,3.0,2.0,1.0,8.0,14.0,,1.0,2.0,3.0,2.0,78.0
12,"Wellingham, Sharrod",12,4,6,18,1,,,3.0,1.0,2.0,2.0,2.0,1.0,1.0,,7.0,11.0,1.0,,2.0,,,85.0
6,"Yeo, Elliot",9,4,14,23,,,,3.0,1.0,2.0,3.0,2.0,1.0,1.0,,12.0,12.0,1.0,,1.0,,2.0,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,233,123,161,394,30,8.0,51.0,64.0,13.0,67.0,41.0,34.0,19.0,10.0,6.0,135.0,257.0,9.0,21.0,32.0,11.0,17.0,
Opposition,Opposition,168,80,190,358,12,5.0,29.0,49.0,35.0,27.0,36.0,43.0,10.0,18.0,,105.0,254.0,6.0,7.0,35.0,15.0,8.0,
