West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
37,"Barrass, Tom",12,7,3,15,,,,1.0,5.0,,,,4.0,,,8.0,6.0,1.0,,12.0,,,86.0
15,"Cripps, Jamie",5,,5,10,,,,4.0,,2.0,1.0,3.0,3.0,1.0,,3.0,7.0,,,1.0,,,76.0
27,"Darling, Jack",5,3,7,12,1,,,5.0,,2.0,1.0,2.0,2.0,2.0,,6.0,6.0,,,1.0,,,87.0
14,"Duggan, Liam",3,2,6,9,,,,2.0,,1.0,,,,,,2.0,9.0,,,1.0,,,84.0
3,"Gaff, Andrew",20,7,5,25,,,,2.0,2.0,2.0,,4.0,,,,1.0,24.0,,1.0,,,1.0,86.0
25,"Hurn, Shannon",17,10,6,23,,,,3.0,4.0,3.0,3.0,,,,,6.0,17.0,,,,,,85.0
34,"Hutchings, Mark",8,2,5,13,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,3.0,9.0,,,,,,67.0
23,"Jetta, Lewis",3,3,4,7,,,,3.0,,1.0,,,,,,2.0,5.0,,,1.0,1.0,,84.0
17,"Kennedy, Josh",6,2,3,9,1,1.0,,1.0,,,,3.0,4.0,2.0,,7.0,2.0,,2.0,,,,90.0
2,"LeCras, Mark",11,9,5,16,2,1.0,,4.0,1.0,3.0,,1.0,,,,2.0,14.0,,2.0,,,,90.0
16,"Mackenzie, Eric",3,6,11,14,,,,,3.0,,,1.0,1.0,1.0,,2.0,12.0,,,4.0,,,85.0
20,"McGovern, Jeremy",12,8,3,15,,,,1.0,7.0,,,2.0,3.0,1.0,,9.0,7.0,4.0,,2.0,,,83.0
1,"Mitchell, Sam",17,5,11,28,2,,,3.0,3.0,5.0,2.0,4.0,1.0,1.0,,7.0,22.0,,2.0,2.0,,,82.0
21,"Petrie, Drew",3,5,4,7,1,,18.0,1.0,,2.0,,,,,,2.0,5.0,,1.0,2.0,,,82.0
11,"Priddis, Matt",11,3,19,30,,,,7.0,1.0,3.0,12.0,6.0,,2.0,,23.0,10.0,,,,,,74.0
8,"Redden, Jack",17,7,12,29,,,,2.0,1.0,1.0,4.0,3.0,1.0,2.0,,12.0,20.0,,,1.0,,,85.0
4,"Sheed, Dom",12,6,9,21,,,,2.0,1.0,6.0,5.0,3.0,1.0,1.0,,9.0,15.0,,,2.0,,,78.0
5,"Sheppard, Brad",8,4,2,10,,,,1.0,,1.0,,1.0,,,,2.0,8.0,,,3.0,,1.0,86.0
13,"Shuey, Luke",14,3,15,29,1,,,9.0,,6.0,6.0,3.0,3.0,2.0,,12.0,16.0,,,,,1.0,87.0
19,"Vardy, Nathan",2,2,3,5,1,,33.0,5.0,1.0,,2.0,2.0,,1.0,,4.0,2.0,1.0,1.0,2.0,,,64.0
12,"Wellingham, Sharrod",10,5,4,14,,,,1.0,4.0,6.0,,,,,,3.0,10.0,,,2.0,,2.0,81.0
6,"Yeo, Elliot",12,7,3,15,,,,1.0,4.0,1.0,,3.0,1.0,2.0,,5.0,9.0,1.0,1.0,2.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,106,145,356,9,4.0,51.0,60.0,37.0,47.0,37.0,42.0,25.0,19.0,,130.0,235.0,7.0,10.0,38.0,1.0,5.0,
Opposition,Opposition,215,96,186,401,19,11.0,47.0,84.0,35.0,59.0,48.0,58.0,19.0,25.0,,142.0,265.0,10.0,15.0,49.0,11.0,16.0,
