Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
31,"Andrews, Harris",27y 146d,194 (92-0-102 47.42%),11 (0.06),←,
43,"Answerth, Noah",24y 273d,62 (42-0-20 67.74%),2 (0.03),←,
7,"Berry, Jarrod",26y 90d,141 (78-0-63 55.32%),60 (0.43),←,
23,"Cameron, Charlie",29y 305d,210 (133-1-76 63.57%),371 (1.77),137 (86-0-51 62.77%),284 (2.07)
3,"Daniher, Joe",30y 62d,185 (90-1-94 48.92%),351 (1.90),77 (50-0-27 64.94%),160 (2.08)
5,"Dunkley, Josh",27y 117d,148 (86-0-62 58.11%),68 (0.46),32 (21-0-11 65.63%),3 (0.09)
28,"Fletcher, Jaspa",20y 71d,22 (14-0-8 63.64%),11 (0.50),←,
27,"Gardiner, Darcy",28y 226d,165 (76-0-89 46.06%),8 (0.05),←,
30,"Hipwood, Eric",26y 235d,161 (85-0-76 52.80%),238 (1.48),←,
35,"Lester, Ryan",31y 253d,188 (84-0-104 44.68%),47 (0.25),←,
1,"Lohmann, Kai",20y 365d,16 (10-0-6 62.50%),7 (0.44),←,
11,"McCarthy, Lincoln",30y 196d,151 (104-0-47 68.87%),167 (1.11),122 (81-0-41 66.39%),142 (1.16)
6,"McCluggage, Hugh",26y 63d,163 (91-0-72 55.83%),101 (0.62),←,
46,"McInerney, Oscar",29y 300d,133 (83-0-50 62.41%),54 (0.41),←,
26,"McKenna, Conor",28y 38d,108 (55-1-52 51.39%),27 (0.25),29 (20-0-9 68.97%),7 (0.24)
13,"Morris, Logan",18y 361d,1 (1-0-0 100.00%),1 (1.00),←,
9,"Neale, Lachie",30y 347d,253 (143-0-110 56.52%),116 (0.46),118 (78-0-40 66.10%),49 (0.42)
40,"Payne, Jack",24y 203d,57 (35-0-22 61.40%),2 (0.04),←,
16,"Rayner, Cam",24y 197d,121 (72-0-49 59.50%),109 (0.90),←,
38,"Reville, Bruce",23y 73d,1 (1-0-0 100.00%),,←,
22,"Sharp, Harry",21y 140d,11 (8-0-3 72.73%),3 (0.27),←,
44,"Wilmot, Darcy",20y 126d,37 (24-0-13 64.86%),6 (0.16),←,
15,"Zorko, Dayne",35y 86d,258 (119-0-139 46.12%),230 (0.89),←,
Totals,Totals,26y 154d,2786 (1526-3-1257 54.77%),1990 (0.71),,
C,"Fagan, Chris",62y 317d,170 (95-0-75 55.88%),,←,
