Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bennell, Harley",13,1,5,18,1,,,3.0,3.0,5.0,3.0,1.0,,,,9.0,9.0,,,5.0,,,89.0
23,"Dixon, Charlie",3,2,3,6,2,1.0,,,,,,2.0,,2.0,,5.0,1.0,2.0,2.0,1.0,,,74.0
41,"Garlett, Jarrod",6,3,4,10,,1.0,,3.0,2.0,1.0,,1.0,1.0,,,3.0,6.0,1.0,1.0,1.0,,,86.0
33,"Hall, Aaron",10,4,5,15,,,,2.0,3.0,1.0,2.0,2.0,,1.0,,3.0,9.0,,,1.0,,,91.0
28,"Kolodjashnij, Kade",12,2,9,21,,,,2.0,5.0,1.0,,3.0,2.0,1.0,,8.0,13.0,,,4.0,,,91.0
40,"Lemmens, Sean",3,2,4,7,,,,2.0,,2.0,,,1.0,,,2.0,5.0,,,,,,72.0
19,"Lynch, Tom",10,2,4,14,,1.0,,2.0,,8.0,,3.0,1.0,,,7.0,6.0,,,4.0,,2.0,95.0
7,"Malceski, Nick",7,2,6,13,,,,2.0,3.0,1.0,2.0,2.0,,1.0,,6.0,7.0,,,3.0,,,88.0
4 ↓,"Martin, Jack",3,1,2,5,1,,,2.0,,1.0,1.0,1.0,1.0,,,4.0,1.0,,1.0,,,,39.0
32,"Matera, Brandon",11,5,6,17,1,,,3.0,,2.0,,3.0,1.0,2.0,,5.0,13.0,,1.0,,2.0,,86.0
17,"May, Steven",5,,5,10,,,,,4.0,,,3.0,1.0,1.0,,7.0,3.0,,,15.0,,,94.0
18,"McKenzie, Trent",5,1,3,8,,,,4.0,2.0,1.0,2.0,3.0,1.0,1.0,,6.0,2.0,,,4.0,,,81.0
44,"Miller, Touk",14,3,8,22,,1.0,,4.0,1.0,3.0,2.0,1.0,,,,10.0,11.0,,,1.0,,,79.0
22,"Nicholls, Tom",7,2,6,13,,,21.0,5.0,2.0,1.0,2.0,4.0,2.0,1.0,,9.0,4.0,,,1.0,,,87.0
10,"Prestia, Dion",16,2,13,29,,1.0,,2.0,2.0,3.0,8.0,1.0,,,,15.0,15.0,,,1.0,,2.0,84.0
35,"Rischitelli, Michael",20,4,11,31,,1.0,,7.0,1.0,6.0,9.0,4.0,,1.0,,13.0,18.0,,,,,,86.0
42,"Saad, Adam",4,2,7,11,,,,6.0,1.0,2.0,,2.0,,2.0,,2.0,9.0,,,5.0,2.0,,79.0
6,"Sexton, Alex",6,,3,9,,1.0,,2.0,,4.0,1.0,3.0,,1.0,,3.0,6.0,,,2.0,,,94.0
26 ↑,"Shaw, Matt",3,3,2,5,,,,1.0,1.0,,,,,,,,5.0,,,1.0,,,48.0
2,"Smith, Zac",4,3,2,6,1,,15.0,4.0,,1.0,,2.0,,,,4.0,2.0,2.0,1.0,4.0,,,82.0
24,"Swallow, David",16,4,4,20,1,1.0,,8.0,,8.0,5.0,4.0,,2.0,,7.0,11.0,,,,,1.0,81.0
16,"Thompson, Rory",3,3,8,11,,,,1.0,3.0,,,1.0,,,,6.0,7.0,2.0,,4.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,181,51,120,301,7,11.0,36.0,65.0,33.0,51.0,37.0,46.0,11.0,16.0,,134.0,163.0,7.0,6.0,57.0,4.0,5.0,
Opposition,Opposition,236,98,223,459,16,23.0,44.0,57.0,42.0,60.0,42.0,39.0,16.0,11.0,6.0,160.0,294.0,10.0,19.0,55.0,13.0,14.0,
